epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
48,5000,1153,0.2306,0.2495,0.0619,0.4801,0.3906,9.1439,-0.5384,-0.0000,1.0000,0.0000,1803.6
49,5000,1140,0.2280,0.1105,-0.0825,0.4695,0.4881,9.0499,-0.5435,0.0000,1.0000,0.0000,1885.0
50,5000,1133,0.2266,0.0957,-0.0802,0.4564,0.3228,8.4572,-0.5444,0.0000,1.0000,0.0000,1725.3
51,5000,1146,0.2292,0.1034,-0.0647,0.4661,0.3051,9.5489,-0.5386,-0.0000,1.0000,0.0000,2011.4
52,5000,1151,0.2302,0.0590,-0.0844,0.4290,0.2649,9.7666,-0.5387,-0.0000,1.0000,0.0000,16646.8
53,5000,1149,0.2298,-0.0179,-0.1902,0.4478,0.3949,9.1135,-0.5397,0.0000,1.0000,0.0000,2101.5
54,5000,1178,0.2356,0.0059,-0.1590,0.4517,0.2861,8.9540,-0.5263,-0.0000,1.0000,0.0000,2209.7
55,5000,1131,0.2262,0.2973,0.1339,0.4466,0.3161,9.1479,-0.5470,0.0000,1.0000,0.0000,2632.4
56,5000,1159,0.2318,-0.0285,-0.2024,0.4558,0.3788,9.1879,-0.5354,-0.0000,1.0000,0.0000,5420.9
57,5000,1142,0.2284,0.2425,0.0631,0.4624,0.3319,8.5002,-0.5427,0.0000,1.0000,0.0000,3328.1
58,5000,1119,0.2238,0.0903,-0.0891,0.4617,0.3221,8.3642,-0.5517,-0.0000,1.0000,0.0000,1958.2
59,5000,1151,0.2302,0.0691,-0.1045,0.4730,0.2929,9.2187,-0.5385,-0.0000,1.0000,0.0000,1922.7
60,5000,1156,0.2312,0.1886,0.0237,0.4505,0.3200,9.2393,-0.5367,-0.0000,1.0000,0.0000,4015.7
61,5000,1158,0.2316,0.2044,0.0419,0.4560,0.3066,9.6197,-0.5357,-0.0000,1.0000,0.0000,2601.6
62,5000,1154,0.2308,0.0670,-0.1031,0.4598,0.2978,8.9639,-0.5373,-0.0000,1.0000,0.0000,3065.4
63,5000,1158,0.2316,0.2781,0.1039,0.4538,0.4338,9.6073,-0.5356,-0.0000,1.0000,0.0000,3457.8
64,5000,1164,0.2328,-0.0116,-0.1641,0.4307,0.3404,9.6933,-0.5334,-0.0000,1.0000,0.0000,2640.6
65,5000,1124,0.2248,-0.0889,-0.2528,0.4623,0.2590,9.3160,-0.5496,0.0000,1.0000,0.0000,5060.5
66,5000,1189,0.2378,0.0861,-0.1050,0.4753,0.4058,8.7176,-0.5237,0.0000,1.0000,0.0000,1703.8
67,5000,1188,0.2376,0.1042,-0.0807,0.4696,0.4116,9.1095,-0.5224,-0.0000,1.0000,0.0000,2275.4
68,5000,1201,0.2402,0.1487,-0.0259,0.4674,0.2955,8.8638,-0.5168,0.0000,1.0000,0.0000,2168.8
69,5000,1195,0.2390,-0.0688,-0.2488,0.4665,0.3339,8.6617,-0.5214,0.0000,1.0000,0.0000,2389.6
70,5000,1158,0.2316,0.0732,-0.0895,0.4580,0.2541,9.1814,-0.5364,-0.0000,1.0000,0.0000,3366.2
71,5000,1191,0.2382,0.0635,-0.0815,0.4551,0.2076,10.3272,-0.5231,-0.0000,1.0000,0.0000,2288.3
72,5000,1189,0.2378,-0.0555,-0.1931,0.4325,0.2491,10.3645,-0.5238,0.0000,1.0000,0.0000,3294.1
73,5000,1169,0.2338,0.1365,-0.0121,0.4415,0.3035,10.2525,-0.5318,-0.0000,1.0000,0.0000,3033.8
74,5000,1191,0.2382,-0.0067,-0.1717,0.4600,0.3683,10.1855,-0.5231,0.0000,1.0000,0.0000,1801.4
75,5000,1173,0.2346,0.1833,-0.0034,0.4681,0.4408,9.1465,-0.5297,0.0000,1.0000,0.0000,1786.2
76,5000,1144,0.2288,0.0578,-0.1219,0.4671,0.4335,9.7171,-0.5419,-0.0000,1.0000,0.0000,1806.4
77,5000,1177,0.2354,0.0153,-0.1447,0.4570,0.2609,9.4521,-0.5288,0.0000,1.0000,0.0000,1946.4
78,5000,1169,0.2338,0.0054,-0.1408,0.4557,0.1448,9.6053,-0.5295,-0.0000,1.0000,0.0000,2423.7
79,5000,1156,0.2312,0.0217,-0.1445,0.4641,0.2158,8.7389,-0.5371,0.0000,1.0000,0.0000,3206.0
80,5000,1212,0.2424,-0.0036,-0.1962,0.4839,0.3455,8.3903,-0.5146,0.0000,1.0000,0.0000,2717.1
81,5000,1208,0.2416,-0.0115,-0.1833,0.4724,0.2566,9.0082,-0.5140,-0.0000,1.0000,0.0000,2754.2
82,5000,1176,0.2352,0.0580,-0.1320,0.4630,0.4156,8.3023,-0.5268,-0.0000,1.0000,0.0000,3521.7
83,5000,1192,0.2384,0.1891,-0.0001,0.4665,0.3863,8.2608,-0.5223,0.0000,1.0000,0.0000,2294.7
84,5000,1221,0.2442,0.0392,-0.1590,0.4659,0.4453,7.9285,-0.5107,-0.0000,1.0000,0.0000,2160.7
85,5000,1202,0.2404,0.1080,-0.0649,0.4555,0.3282,8.7708,-0.5167,-0.0000,1.0000,0.0000,1875.0
86,5000,1154,0.2308,-0.0016,-0.1714,0.4682,0.2623,9.0471,-0.5379,0.0000,1.0000,0.0000,1746.0
87,5000,1204,0.2408,-0.0444,-0.2194,0.4699,0.3023,9.0114,-0.5156,-0.0000,1.0000,0.0000,1779.1
88,5000,1192,0.2384,0.1358,-0.0461,0.4668,0.3395,8.5419,-0.5202,-0.0000,1.0000,0.0000,1793.0
89,5000,1201,0.2402,0.1663,-0.0121,0.4669,0.3091,8.5965,-0.5190,-0.0000,1.0000,0.0000,1752.1
90,5000,1195,0.2390,0.1804,-0.0096,0.4703,0.3314,7.8237,-0.5195,-0.0000,1.0000,0.0000,1791.9
91,5000,1160,0.2320,0.1597,-0.0324,0.4840,0.3198,8.1877,-0.5331,-0.0000,1.0000,0.0000,1842.4
92,5000,1207,0.2414,0.0613,-0.1266,0.4804,0.3105,8.3337,-0.5165,-0.0000,1.0000,0.0000,1860.0
93,5000,1206,0.2412,-0.0152,-0.1951,0.4670,0.3128,8.4913,-0.5150,0.0000,1.0000,0.0000,1839.6
94,5000,1170,0.2340,0.0798,-0.0832,0.4519,0.2729,9.0140,-0.5315,0.0000,1.0000,0.0000,1874.3
95,5000,1179,0.2358,-0.0103,-0.1809,0.4520,0.4142,9.6883,-0.5281,0.0000,1.0000,0.0000,1896.0
96,5000,1239,0.2478,-0.0195,-0.2123,0.4756,0.3568,8.0674,-0.5035,-0.0000,1.0000,0.0000,1898.0
97,5000,1212,0.2424,0.0417,-0.1509,0.4857,0.3218,8.2392,-0.5144,0.0000,1.0000,0.0000,2021.9
98,5000,1222,0.2444,0.0591,-0.1346,0.4766,0.4034,8.4931,-0.5083,-0.0000,1.0000,0.0000,2190.6
