epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
75,5000,1192,0.2384,0.0553,0.0631,0.1601,0.2977,11.7654,-0.2589,-0.0000,1.0000,0.0000,2175.4
76,5000,1181,0.2362,-0.1492,-0.1249,0.1510,0.2113,12.0882,-0.2618,0.0000,1.0000,0.0000,1587.1
77,5000,1173,0.2346,0.2224,0.2213,0.1684,0.2577,10.8840,-0.2633,-0.0000,1.0000,0.0000,1705.9
78,5000,1226,0.2452,0.0393,0.0503,0.1592,0.2258,11.3206,-0.2527,-0.0000,1.0000,0.0000,1781.0
79,5000,1246,0.2492,-0.0421,-0.0297,0.1660,0.1816,11.3595,-0.2416,0.0000,1.0000,0.0000,1916.6
80,5000,1172,0.2344,0.1305,0.1421,0.1668,0.1803,11.3098,-0.2640,-0.0000,1.0000,0.0000,2292.2
81,5000,1236,0.2472,-0.0960,-0.0905,0.1746,0.1282,10.5534,-0.2503,-0.0000,1.0000,0.0000,3132.1
82,5000,1228,0.2456,-0.1481,-0.1493,0.1632,0.2265,10.2980,-0.2514,0.0000,1.0000,0.0000,2605.7
83,5000,1284,0.2568,0.1056,0.1000,0.1720,0.2258,10.3033,-0.2410,0.0000,1.0000,0.0000,2584.0
84,5000,1237,0.2474,-0.1503,-0.1514,0.1720,0.2538,11.0202,-0.2501,-0.0000,1.0000,0.0000,3277.5
85,5000,1210,0.2420,-0.0577,-0.0560,0.1628,0.2387,10.6929,-0.2562,-0.0000,1.0000,0.0000,2418.4
86,5000,1215,0.2430,-0.0591,-0.0652,0.1683,0.2530,10.3282,-0.2539,-0.0000,1.0000,0.0000,2095.4
87,5000,1235,0.2470,0.0051,-0.0018,0.1766,0.2562,10.6985,-0.2504,0.0000,1.0000,0.0000,1852.4
88,5000,1228,0.2456,-0.1956,-0.1947,0.1624,0.2022,10.2319,-0.2517,-0.0000,1.0000,0.0000,1714.6
89,5000,1257,0.2514,0.0897,0.0896,0.1696,0.1972,10.4453,-0.2463,0.0000,1.0000,0.0000,1705.2
90,5000,1232,0.2464,0.1668,0.1551,0.1684,0.2800,10.0457,-0.2513,-0.0000,1.0000,0.0000,1697.8
91,5000,1246,0.2492,-0.1236,-0.1272,0.1715,0.2326,10.5453,-0.2480,-0.0000,1.0000,0.0000,1713.8
92,5000,1211,0.2422,0.0809,0.0825,0.1698,0.2208,10.8505,-0.2557,0.0000,1.0000,0.0000,1699.4
93,5000,1224,0.2448,0.1171,0.1161,0.1800,0.1789,10.7005,-0.2452,0.0000,1.0000,0.0000,1762.2
94,5000,1206,0.2412,0.2358,0.2235,0.1718,0.2741,10.1019,-0.2563,-0.0000,1.0000,0.0000,1784.9
95,5000,1217,0.2434,-0.0028,-0.0106,0.1708,0.2478,10.2429,-0.2533,-0.0000,1.0000,0.0000,1799.3
96,5000,1243,0.2486,0.0077,-0.0017,0.1713,0.2472,10.0967,-0.2481,-0.0000,1.0000,0.0000,1771.3
97,5000,1230,0.2460,-0.0389,-0.0393,0.1650,0.2385,10.6001,-0.2513,-0.0000,1.0000,0.0000,1786.1
98,5000,1210,0.2420,0.1729,0.1615,0.1717,0.2677,10.1124,-0.2559,-0.0000,1.0000,0.0000,1852.0
99,5000,1232,0.2464,-0.0105,-0.0098,0.1685,0.2351,10.8383,-0.2514,-0.0000,1.0000,0.0000,1803.7
100,5000,1235,0.2470,-0.0113,-0.0106,0.1681,0.2579,11.0487,-0.2508,-0.0000,1.0000,0.0000,1994.8
101,5000,1206,0.2412,-0.0590,-0.0560,0.1637,0.2102,10.5884,-0.2571,0.0000,1.0000,0.0000,2087.4
102,5000,1228,0.2456,-0.1190,-0.1232,0.1577,0.2450,9.9208,-0.2517,0.0000,1.0000,0.0000,3410.2
