epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_kl,mean_entropy,mean_reward,elapsed_s
1,5000,1703,0.3406,0.0521,-0.1924,0.2756,4.9349,-0.3164,544.8
2,5000,1668,0.3336,0.0107,-0.2097,0.1757,5.1898,-0.3304,569.6
3,5000,1690,0.3380,-0.0196,-0.2360,0.2053,5.6952,-0.3214,560.8
4,5000,1689,0.3378,0.0601,-0.1682,0.2541,6.0517,-0.3218,716.3
5,5000,1734,0.3468,0.0415,-0.1905,0.1956,5.3540,-0.3040,555.4
6,5000,1680,0.3360,0.0585,-0.1568,0.1758,5.7268,-0.3258,715.5
7,5000,1713,0.3426,-0.0046,-0.2323,0.2471,5.7891,-0.3125,483.8
8,5000,1749,0.3498,0.0936,-0.1283,0.1819,5.7317,-0.2982,561.1
9,5000,1676,0.3352,0.0334,-0.2121,0.1385,5.2361,-0.3272,552.5
10,5000,1697,0.3394,0.0715,-0.1519,0.1676,5.6860,-0.3185,550.6
11,5000,1728,0.3456,0.0079,-0.2051,0.1833,5.8815,-0.3065,612.9
12,5000,1663,0.3326,0.0110,-0.2200,0.1947,5.5995,-0.3325,624.4
13,5000,1693,0.3386,0.0516,-0.1831,0.2720,6.1219,-0.3205,474.6
14,5000,1694,0.3388,-0.0511,-0.2918,0.2399,5.0471,-0.3199,469.1
15,5000,1704,0.3408,0.0461,-0.1826,0.1865,5.2771,-0.3161,414.0
16,5000,1720,0.3440,-0.0036,-0.2243,0.2261,5.4085,-0.3093,385.4
17,5000,1670,0.3340,0.0361,-0.2000,0.3379,5.4678,-0.3314,403.8
18,5000,1718,0.3436,0.1218,-0.1111,0.2395,5.3504,-0.3105,420.4
19,5000,1706,0.3412,0.0965,-0.1422,0.2213,5.1649,-0.3154,417.2
20,5000,1735,0.3470,0.0255,-0.2095,0.2556,5.3247,-0.3036,395.5
