epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
5,3392,1460,-0.0949,-1.3803,0.2547,5.8658,-0.0898,0.3361,2040.2
5,3712,1480,0.2166,0.0155,0.3622,8.4060,-0.3765,0.3365,2080.7
5,4032,1500,-0.0400,0.8110,0.1823,6.7639,-0.7466,0.3362,2106.1
5,4352,1520,-0.0697,-0.6274,0.1753,5.1832,-0.1069,0.3365,2166.8
5,4672,1540,0.3496,-0.3424,0.1894,5.8982,-0.4732,0.3365,2220.6
5,4992,1560,0.1349,0.0862,0.1972,4.6675,-0.3893,0.3365,2270.1
6,320,1580,-0.1957,-0.6047,0.1909,5.4922,-0.1491,0.3369,2307.2
6,640,1600,0.1237,0.3228,0.1809,5.3095,-0.4063,0.3367,2330.0
6,960,1620,0.4018,-0.4567,0.2586,7.4129,-0.2585,0.3364,2352.5
6,1280,1640,-0.1448,0.9059,0.2608,6.8879,-0.2424,0.3365,2376.0
6,1600,1660,0.0730,-0.5976,0.2192,5.5448,-0.3578,0.3360,2398.0
6,1920,1680,0.0676,-0.0378,0.1633,5.2322,0.0383,0.3357,2420.4
6,2240,1700,0.0549,-0.9554,0.2061,5.9778,-0.5112,0.3356,2548.5
6,2560,1720,-0.0545,0.0818,0.1897,5.7418,-0.3463,0.3356,2573.1
6,2880,1740,0.0428,0.3636,0.2004,8.3232,-0.4207,0.3357,2597.3
6,3200,1760,-0.1891,-0.0967,0.2547,5.8214,-0.3451,0.3358,2620.2
6,3520,1780,0.1172,0.2691,0.2910,7.2040,-0.4946,0.3359,2657.6
6,3840,1800,0.5793,-0.2855,0.1215,5.3534,-0.5100,0.3356,2692.5
6,4160,1820,0.1411,-0.0817,0.4169,7.7448,-0.1372,0.3354,2731.2
6,4480,1840,-0.4610,0.0170,0.2857,5.0109,0.2520,0.3359,2757.5
6,4800,1860,-0.4337,-0.7833,0.4079,7.0383,-0.0101,0.3364,2783.2
7,128,1880,-0.0536,0.7325,0.5528,9.9181,-0.5038,0.3367,2821.4
7,448,1900,-0.3033,-1.3128,0.3188,8.5191,0.0048,0.3364,2850.7
7,768,1920,-0.1214,0.0245,0.2635,7.3451,-0.3482,0.3359,2891.0
7,1088,1940,0.1616,0.6290,0.3419,7.6017,-0.5945,0.3356,2919.7
7,1408,1960,-0.3605,-2.3527,0.0895,9.6385,-0.5895,0.3353,2944.1
7,1728,1980,-0.0068,0.1788,0.1844,7.9927,-0.5153,0.3350,2967.5
7,2048,2000,-0.2972,-0.1293,0.2020,7.3842,-0.2579,0.3349,2990.2
7,2368,2020,-0.1819,-1.0904,0.1845,7.9328,-0.2498,0.3350,3013.6
7,2688,2040,0.0698,0.7087,0.2505,7.5730,0.0772,0.3353,3037.9
7,3008,2060,-0.2634,-0.8914,0.3086,6.5764,0.2181,0.3349,3060.9
7,3328,2080,0.1072,0.2197,0.1448,5.5054,-0.2150,0.3351,3083.8
7,3648,2100,0.0693,0.9288,0.3002,5.2190,-0.6349,0.3353,3106.5
7,3968,2120,0.2348,1.1956,0.2597,5.9954,-0.5982,0.3356,3130.0
7,4288,2140,0.0647,0.4665,0.2306,6.9576,-0.2714,0.3357,3152.1
7,4608,2160,0.0757,-1.4431,0.2507,7.1083,0.5494,0.3358,3174.1
7,4928,2180,-0.1443,0.2264,0.2868,5.9431,-0.4701,0.3360,3195.5
8,256,2200,-0.1234,-0.9198,0.2745,7.1336,0.0139,0.3357,3218.1
8,576,2220,0.0957,0.0834,0.2075,5.8341,-0.5083,0.3354,3238.8
8,896,2240,0.0107,0.2749,0.2199,6.5385,-0.3580,0.3350,3260.5
8,1216,2260,-0.0948,-1.4521,0.2538,7.8143,-0.1190,0.3349,3284.1
8,1536,2280,0.3262,0.2334,0.2499,7.0894,-0.2283,0.3346,3306.8
8,1856,2300,0.2778,-1.7133,0.2540,7.1374,-0.0070,0.3346,3329.3
8,2176,2320,0.1668,-1.2136,0.2070,6.0810,-0.0761,0.3346,3350.3
