epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
5,3392,1460,-1.0247,-1.8546,0.1020,6.2729,-0.0670,0.3486,2119.6
5,3712,1480,-0.1814,1.1773,0.1593,6.0555,-0.0483,0.3492,2149.2
5,4032,1500,-0.0490,0.3211,0.2112,5.3651,-0.1740,0.3496,2178.3
5,4352,1520,-0.5448,-0.2031,0.0647,3.2052,-0.0415,0.3495,2206.7
5,4672,1540,-0.0567,-0.0664,0.1312,5.6833,0.0517,0.3497,2233.5
5,4992,1560,0.1122,0.7416,0.1407,4.2482,0.0009,0.3501,2258.9
6,320,1580,0.1996,0.2087,0.1001,3.1525,-0.0944,0.3503,2287.0
6,640,1600,-0.5513,-1.2573,0.0548,5.3631,-0.1447,0.3504,2313.5
6,960,1620,-0.0145,-0.1633,0.0731,7.3472,-0.0193,0.3503,2340.6
6,1280,1640,-0.1827,-0.1183,0.1390,5.5114,-0.1411,0.3500,2369.6
6,1600,1660,0.3988,0.7510,0.1063,3.9937,-0.1294,0.3495,2397.2
6,1920,1680,0.1648,0.4705,0.0681,4.2011,-0.1058,0.3493,2423.0
6,2240,1700,-0.2677,0.7503,0.1538,5.1439,-0.2841,0.3494,2447.1
6,2560,1720,0.1693,-0.1660,0.1712,5.0230,-0.0887,0.3499,2473.5
6,2880,1740,0.1913,0.1672,0.2050,7.3168,-0.1467,0.3498,2499.6
6,3200,1760,-0.7076,0.2137,0.7384,6.7257,-0.1493,0.3499,2524.5
6,3520,1780,0.0262,1.0813,1.0618,5.4957,-0.2081,0.3498,2549.9
6,3840,1800,0.2596,0.4501,0.2450,5.5933,-0.3159,0.3495,2575.8
6,4160,1820,0.0294,-0.9576,0.4636,7.0446,-0.1171,0.3493,2600.8
6,4480,1840,-0.2117,1.0447,0.1271,3.1525,-0.1149,0.3496,2626.9
6,4800,1860,0.1730,1.0596,0.2588,4.8095,-0.1908,0.3498,2651.7
7,128,1880,-0.1876,-0.5370,0.1672,8.6914,-0.1630,0.3504,2677.3
7,448,1900,-0.0234,0.9382,0.3999,6.3542,-0.0147,0.3502,2702.8
7,768,1920,-0.6572,-0.6130,0.3284,4.9024,-0.2062,0.3500,2729.2
7,1088,1940,0.1172,-0.2401,0.2035,5.5740,-0.1307,0.3500,2756.3
7,1408,1960,-0.1017,1.3051,0.1601,7.9796,-0.3217,0.3495,2780.9
7,1728,1980,-0.5852,-2.1185,0.2056,6.8887,0.1232,0.3496,2807.7
7,2048,2000,-0.1926,-0.9019,0.2446,6.0785,-0.1746,0.3496,2832.1
7,2368,2020,0.6256,0.5854,0.1379,5.2721,-0.1066,0.3494,2856.6
7,2688,2040,-0.8969,-1.8306,0.1398,5.7197,0.0032,0.3495,2881.6
7,3008,2060,-0.7579,-2.8231,0.1728,5.9973,0.2246,0.3495,2906.4
7,3328,2080,0.0504,-0.2292,0.1833,4.7315,-0.1284,0.3497,2931.7
7,3648,2100,-0.1722,1.5541,0.1115,4.9381,-0.3120,0.3497,2955.9
7,3968,2120,0.3568,-0.3178,0.1502,5.3415,-0.0477,0.3498,2980.7
7,4288,2140,0.2469,0.7287,0.2092,4.0175,-0.3898,0.3496,3005.8
7,4608,2160,-0.5473,-2.3861,0.1066,4.3193,-0.1022,0.3501,3030.7
7,4928,2180,0.0590,1.0508,0.2687,4.8845,-0.2467,0.3500,3054.4
8,256,2200,-0.6532,-3.6861,0.0419,7.0754,0.1022,0.3501,3080.0
8,576,2220,-0.3984,-0.1091,0.0459,6.6974,-0.0211,0.3499,3103.7
8,896,2240,0.7868,1.0637,0.1060,6.3283,-0.1002,0.3495,3127.2
8,1216,2260,-0.1468,0.5854,0.0782,8.1123,-0.3177,0.3491,3152.2
8,1536,2280,-0.0821,-1.3243,0.1374,6.4707,0.0235,0.3492,3177.6
8,1856,2300,0.1612,0.4903,0.1200,5.7680,-0.3678,0.3491,3202.4
8,2176,2320,-0.3023,-0.0337,0.1466,4.3108,-0.1282,0.3493,3226.3
8,2496,2340,-0.0552,-0.5100,0.3464,5.8704,0.1539,0.3494,3251.6
8,2816,2360,-0.0648,0.3130,0.1658,5.3427,-0.3006,0.3492,3276.5
8,3136,2380,-0.0058,0.2199,0.1791,5.8776,-0.3537,0.3492,3303.1
8,3456,2400,-0.1776,-0.5402,0.1618,3.9809,0.0379,0.3492,3330.3
8,3776,2420,0.0772,0.1534,0.2502,5.0762,-0.3598,0.3489,3356.6
8,4096,2440,-0.6238,1.9957,0.1933,5.7147,-0.1003,0.3487,3383.6
8,4416,2460,-0.2527,0.3881,0.1764,6.2882,-0.1877,0.3491,3412.0
8,4736,2480,0.1821,-0.5833,0.1590,4.9183,-0.1065,0.3490,3437.9
9,64,2500,-0.3847,-0.1985,0.1304,9.0884,-0.1656,0.3495,3465.1
9,384,2520,0.2154,0.4715,0.1088,5.1842,-0.4095,0.3498,3493.3
9,704,2540,-0.0539,-0.8434,0.1154,6.7667,-0.1940,0.3494,3518.8
9,1024,2560,-0.4153,0.9506,0.0445,5.3358,-0.4213,0.3491,3544.6
9,1344,2580,0.0589,0.5172,0.1034,3.9442,-0.2088,0.3489,3571.3
9,1664,2600,-0.2369,0.0221,0.0630,3.5963,-0.3954,0.3485,3607.5
9,1984,2620,-0.2659,-0.5606,0.1460,4.4230,-0.0746,0.3486,3639.4
9,2304,2640,-0.4151,-1.6015,0.1423,8.0608,0.0386,0.3487,3673.0
9,2624,2660,0.0922,-0.0495,0.1745,7.7669,-0.1057,0.3487,3704.9
