timestamp,batch,avg_loss,expert_succ,matched_rate
1779333251.1478,20,3.124364,0.3844,1.0000
1779333278.7340631,40,3.046375,0.3672,1.0000
1779333302.391074,60,2.909932,0.3604,1.0000
1779333327.8148632,80,2.891321,0.3555,1.0000
1779333350.4388428,100,2.919856,0.3550,1.0000
1779333376.450571,120,2.795553,0.3563,1.0000
1779333401.788552,140,2.824472,0.3563,1.0000
1779333429.642782,160,2.745202,0.3570,1.0000
1779333454.329771,180,2.745323,0.3615,1.0000
1779333477.449274,200,2.826136,0.3591,1.0000
1779333503.1457222,220,2.769447,0.3616,1.0000
1779333530.2581198,240,2.803932,0.3617,1.0000
1779333558.0137548,260,2.784249,0.3642,1.0000
1779333580.257591,280,2.868359,0.3629,1.0000
1779333606.3680708,300,2.757619,0.3621,1.0000
1779333636.882942,320,2.786123,0.3645,1.0000
1779333659.7310169,340,2.751143,0.3631,1.0000
1779333683.355094,360,2.592436,0.3616,1.0000
1779333706.3672938,380,2.771751,0.3590,1.0000
1779333737.259135,400,2.552383,0.3609,1.0000
1779333764.834999,420,2.563722,0.3615,1.0000
1779333787.777504,440,2.600796,0.3615,1.0000
1779333812.893427,460,2.563672,0.3609,1.0000
1779333846.516948,480,2.672921,0.3600,1.0000
1779333899.2210932,500,2.658955,0.3599,1.0000
1779333946.4220731,520,2.720183,0.3602,1.0000
1779334004.356691,540,2.608363,0.3620,1.0000
1779334053.866626,560,2.615308,0.3631,1.0000
1779334090.4399738,580,2.568955,0.3608,1.0000
1779334141.185513,600,2.703813,0.3610,1.0000
1779334205.525097,620,2.749265,0.3604,1.0000
