epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1102,0.2204,0.0708,-0.0880,0.4572,0.1786,8.7670,-0.5583,-0.0000,1.0000,0.0000,2130.1
2,5000,1097,0.2194,0.1489,-0.0339,0.4539,0.3799,8.2162,-0.5606,0.0000,1.0000,0.0000,2001.6
3,5000,1083,0.2166,0.1792,0.0049,0.4610,0.3505,9.1231,-0.5653,0.0000,1.0000,0.0000,1892.3
4,5000,1157,0.2314,0.1203,-0.0629,0.4854,0.3059,9.0104,-0.5344,-0.0000,1.0000,0.0000,1929.2
5,5000,1113,0.2226,0.2503,0.0645,0.4602,0.3687,8.1172,-0.5540,-0.0000,1.0000,0.0000,1975.1
6,5000,1140,0.2280,-0.0198,-0.1904,0.4646,0.2812,8.9793,-0.5433,0.0000,1.0000,0.0000,1966.9
7,5000,1126,0.2252,0.1210,-0.0590,0.4556,0.3812,8.5958,-0.5489,-0.0000,1.0000,0.0000,2011.9
8,5000,1136,0.2272,0.0947,-0.0845,0.4665,0.3519,8.9279,-0.5446,-0.0000,1.0000,0.0000,2181.1
9,5000,1135,0.2270,0.1869,0.0078,0.4568,0.2717,7.6468,-0.5436,0.0000,1.0000,0.0000,2224.0
10,5000,1132,0.2264,0.1018,-0.0708,0.4564,0.2736,8.3035,-0.5445,-0.0000,1.0000,0.0000,2203.7
11,5000,1108,0.2216,0.1565,-0.0087,0.4544,0.2553,8.7553,-0.5538,0.0000,1.0000,0.0000,2210.1
12,5000,1157,0.2314,0.0695,-0.1087,0.4641,0.3053,8.4424,-0.5364,-0.0000,1.0000,0.0000,2413.5
13,5000,1137,0.2274,0.1722,-0.0115,0.4649,0.3292,8.1633,-0.5447,0.0000,1.0000,0.0000,2430.3
14,5000,1100,0.2200,0.0704,-0.1041,0.4517,0.3832,8.9670,-0.5592,0.0000,1.0000,0.0000,2344.9
15,5000,1143,0.2286,0.0742,-0.1092,0.4699,0.3033,8.1826,-0.5400,0.0000,1.0000,0.0000,2303.0
16,5000,1117,0.2234,0.2132,0.0318,0.4678,0.3175,8.4232,-0.5509,-0.0000,1.0000,0.0000,4507.2
17,5000,1127,0.2254,0.0845,-0.0931,0.4700,0.2726,8.4695,-0.5468,0.0000,1.0000,0.0000,1640.6
18,5000,1153,0.2306,0.2495,0.0619,0.4801,0.3906,9.1439,-0.5384,-0.0000,1.0000,0.0000,1803.6
19,5000,1140,0.2280,0.1105,-0.0825,0.4695,0.4881,9.0499,-0.5435,0.0000,1.0000,0.0000,1885.0
20,5000,1133,0.2266,0.0957,-0.0802,0.4564,0.3228,8.4572,-0.5444,0.0000,1.0000,0.0000,1725.3
