episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.3322,-1.2679,0.0821,12.8018,-0.7326,0.2125,103.1
640,40,-1.3824,-0.9897,0.3112,10.7402,-0.4934,0.1984,200.5
960,60,-1.1434,-1.3255,0.3756,10.8939,-0.5086,0.1938,293.7
1280,80,-1.1219,0.2817,0.2798,10.9845,-0.6442,0.1977,397.5
1600,100,-1.2331,0.9644,0.3239,10.1677,-0.7608,0.1931,491.1
1920,120,-1.1330,-1.1318,0.2305,10.5300,-0.3955,0.1958,590.7
2240,140,-0.8441,-2.1266,0.2141,11.2026,-0.6018,0.1915,687.9
2560,160,-1.1435,-1.7300,0.6674,10.1768,-0.7367,0.1863,781.0
2880,180,-0.6228,-0.4496,0.7464,7.3825,-0.7641,0.1844,896.5
3200,200,-0.6957,-0.9004,0.4939,9.7701,-0.6048,0.1834,1017.0
3520,220,-0.8540,0.3617,0.4741,8.3467,-0.5491,0.1844,1133.8
3840,240,-0.5927,0.2160,0.8205,7.7588,-0.6097,0.1862,1258.6
4160,260,-0.3918,0.7423,0.8349,7.4990,-0.7652,0.1885,1378.8
4480,280,-0.3236,-1.2152,0.7375,6.8413,-0.3687,0.1895,1484.9
4800,300,0.3805,-0.3925,0.1658,13.9124,-0.7561,0.1881,4878.8
