timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std
1778588300.925685,0.435915,0.059314,0.366234,0.545769,1.776161,0.179979,0.024575,3.067575,0.104641
1778588329.0137541,0.428024,0.046282,0.380963,0.555502,1.687327,0.154084,0.043987,3.076043,0.081885
1778588355.196987,0.435674,0.045731,0.344689,0.517457,1.584672,0.153154,0.061975,3.084615,0.117120
1778588384.6730812,0.412972,0.026520,0.342634,0.504621,1.464925,0.114887,0.082099,3.092377,0.074134
1778588409.99026,0.419151,2.205779,0.316543,0.458911,1.406917,0.108371,0.099807,3.077840,0.080574
1778588435.2915058,0.437776,2.079881,0.283455,0.419050,1.350799,0.114476,0.119240,3.066056,0.114966
1778588464.699544,0.397188,1.759751,0.251424,0.360788,1.143147,0.069929,0.139929,3.057330,0.061693
1778588487.737376,0.432946,1.734039,0.234765,0.327641,1.157688,0.089457,0.156661,3.078278,0.115462
1778588515.348031,0.424934,1.502421,0.211929,0.305163,0.982876,0.066635,0.183020,3.086352,0.090783
1778588545.08636,0.391498,1.282957,0.186806,0.276419,0.830999,0.039111,0.201100,3.082283,0.053898
1778588572.738414,0.423142,1.252820,0.178410,0.252027,0.828672,0.048902,0.221026,3.073958,0.090434
1778588603.5672069,0.411051,1.131506,0.170792,0.249696,0.726101,0.031460,0.245107,3.081339,0.063124
1778588630.481534,0.424648,1.037127,0.150393,0.205601,0.693429,0.037012,0.262834,3.080240,0.104882
1778588658.994553,0.421794,0.848763,0.122154,0.173313,0.570616,0.026731,0.285165,3.068595,0.090507
1778588694.4861782,0.410958,0.572114,0.086106,0.104515,0.403474,0.017937,0.304364,3.094972,0.081728
1778588721.2067368,0.417800,0.553596,0.081694,0.102243,0.392707,0.015512,0.324537,3.080478,0.083200
1778588751.4464939,0.415124,0.356714,0.054473,0.057899,0.270248,0.009652,0.345073,3.073216,0.069431
1778588779.9946601,0.424035,0.252210,0.036585,0.039135,0.202487,0.009355,0.365630,3.067381,0.077703
1778588810.783656,0.408823,0.072766,0.013959,0.005640,0.080841,0.006278,0.383740,3.081222,0.075754
1778588837.846415,0.419955,-0.046707,-0.004266,-0.033648,0.018180,0.007488,0.406153,3.071583,0.086099
1778588869.96384,0.418873,-0.199197,-0.027993,-0.066380,-0.077540,0.006963,0.421983,3.076474,0.084045
1778588899.6970859,0.418655,-0.296560,-0.040990,-0.082546,-0.146895,0.008951,0.437785,3.060420,0.093386
1778588928.251403,0.435632,-0.320415,-0.043807,-0.096847,-0.153849,0.009498,0.453850,3.066172,0.096494
1778588959.0373561,0.443798,-0.451204,-0.068085,-0.125222,-0.234676,0.015135,0.470035,3.078873,0.121143
1778588990.856622,0.419508,-0.699445,-0.100793,-0.198930,-0.374915,0.011917,0.480855,3.076532,0.091012
1778589016.964733,0.441710,-0.514326,-0.072739,-0.133924,-0.283507,0.013075,0.488382,3.069324,0.105213
1778589046.132003,0.425066,-0.618289,-0.088825,-0.144216,-0.360608,0.012277,0.494632,3.077895,0.086922
1778589076.7920582,0.439156,-0.691819,-0.099718,-0.187732,-0.382184,0.017301,0.500064,3.083582,0.117501
1778589107.410172,0.419712,-0.774345,-0.113848,-0.191577,-0.445847,0.015248,0.498583,3.069666,0.095764
1778589137.28547,0.454888,-0.684443,-0.103616,-0.196264,-0.361724,0.016022,0.502926,3.085014,0.118033
1778589164.023797,0.425547,-0.646966,-0.089434,-0.151885,-0.380576,0.011257,0.498927,3.070011,0.077238
1778589171.25924,0.420930,-0.805702,-0.116945,-0.208783,-0.456332,0.014034,0.502135,3.065944,0.089081
