epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
1,5000,1117,0.2234,-0.1151,-0.1099,0.1697,0.1934,10.9363,-0.2748,0.0000,1.0000,0.0000,2591.4
2,5000,1096,0.2192,0.0261,0.0372,0.1705,0.1263,10.9020,-0.2777,0.0000,1.0000,0.0000,2255.2
3,5000,1128,0.2256,-0.2096,-0.1974,0.1696,0.1963,11.6617,-0.2725,-0.0000,1.0000,0.0000,2167.8
4,5000,1139,0.2278,0.1335,0.1380,0.1661,0.2756,11.5048,-0.2694,0.0000,1.0000,0.0000,2159.5
5,5000,1127,0.2254,-0.2118,-0.1947,0.1709,0.1910,12.1619,-0.2649,0.0000,1.0000,0.0000,2049.8
6,5000,1095,0.2190,0.0820,0.0869,0.1728,0.2240,11.3704,-0.2724,-0.0000,1.0000,0.0000,18502.1
7,5000,1053,0.2106,0.1421,0.1506,0.1711,0.2096,11.5031,-0.2864,0.0000,1.0000,0.0000,2330.1
8,5000,1154,0.2308,-0.1537,-0.1516,0.1766,0.2163,11.1973,-0.2599,-0.0000,1.0000,0.0000,2275.3
9,5000,1142,0.2284,-0.2122,-0.1959,0.1652,0.1932,11.8249,-0.2698,0.0000,1.0000,0.0000,2392.1
10,5000,1142,0.2284,-0.0327,-0.0241,0.1666,0.1803,10.9904,-0.2694,0.0000,1.0000,0.0000,2157.7
