timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss,critic_loss,value_mean,entropy,adv_std
1778645022.2891,0.275185,0.010319,0.237836,0.351334,1.097203,0.065135,0.025014,2.224821,0.050894
1778645053.31817,0.272382,0.004625,0.233876,0.345676,1.014153,0.054531,0.044178,2.263993,0.049925
1778645079.85284,0.277973,0.002931,0.203113,0.301412,0.938573,0.050989,0.061997,2.256279,0.066422
1778645107.3567019,0.278376,0.000475,0.182460,0.270207,0.856096,0.045548,0.080713,2.229890,0.081122
1778645139.183456,0.281307,1.193461,0.176165,0.249344,0.772555,0.036419,0.100872,2.281271,0.062635
1778645176.101994,0.283153,1.057061,0.149809,0.217460,0.695749,0.032748,0.119631,2.233129,0.078126
1778645225.54603,0.274265,0.869114,0.122364,0.178451,0.579314,0.022776,0.138227,2.240393,0.065860
1778645277.630898,0.289377,0.803204,0.115083,0.161541,0.536749,0.024530,0.158432,2.243352,0.086606
1778645323.3266392,0.287198,0.639889,0.091005,0.128475,0.434444,0.016863,0.178811,2.246564,0.072084
1778645367.463465,0.288099,0.500633,0.069505,0.098594,0.348930,0.011696,0.198613,2.224399,0.061208
1778645424.3523421,0.269811,0.275505,0.042392,0.055490,0.197380,0.005911,0.221031,2.271213,0.059895
1778645476.190173,0.286127,0.203218,0.029288,0.022559,0.168043,0.011307,0.238195,2.232517,0.095671
1778645533.238775,0.265509,-0.010013,0.001613,-0.006254,0.016158,0.002409,0.257358,2.273460,0.048783
1778645586.506023,0.275588,-0.113137,-0.014977,-0.029005,-0.048263,0.003379,0.279037,2.258172,0.058487
1778645645.754716,0.270709,-0.225951,-0.031310,-0.055623,-0.118125,0.003759,0.291282,2.277254,0.058213
1778645695.82654,0.269128,-0.309076,-0.042549,-0.066569,-0.179294,0.003816,0.306395,2.257163,0.049659
1778645744.90574,0.282337,-0.292600,-0.038985,-0.067455,-0.166559,0.005417,0.316085,2.231034,0.065922
1778645795.751502,0.269781,-0.429149,-0.057381,-0.097511,-0.254870,0.005589,0.323840,2.218099,0.052048
1778645849.746358,0.279446,-0.415543,-0.057966,-0.100501,-0.236677,0.004327,0.325272,2.256178,0.047561
1778645903.7595499,0.261255,-0.494204,-0.068404,-0.102282,-0.304560,0.006586,0.328965,2.225079,0.045086
1778645962.8003469,0.286847,-0.472642,-0.068064,-0.117360,-0.269818,0.009901,0.334025,2.235113,0.088302
1778646037.4550269,0.276011,-0.489686,-0.069029,-0.116779,-0.284615,0.006645,0.333528,2.258545,0.058221
1778646113.6843011,0.269432,-0.507641,-0.071137,-0.116685,-0.300544,0.006005,0.330015,2.227835,0.048706
1778646190.9865851,0.283529,-0.458560,-0.065647,-0.114145,-0.259535,0.006732,0.331534,2.259935,0.067065
1778646276.807304,0.283932,-0.430041,-0.060642,-0.109976,-0.240053,0.006500,0.326234,2.261943,0.069175
1778646361.559948,0.282289,-0.354019,-0.050787,-0.083234,-0.200588,0.006067,0.317571,2.244253,0.069993
