epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
5,3392,1460,-0.0365,-1.5047,0.2501,6.7012,-0.0305,0.3411,1945.3
5,3712,1480,-0.2007,-1.0432,0.2897,6.8365,-0.1643,0.3419,1976.9
5,4032,1500,0.3013,0.1871,0.1308,5.9978,-0.1902,0.3421,2007.5
5,4352,1520,-0.7749,-0.7604,0.1620,4.9485,-0.0427,0.3419,2037.5
5,4672,1540,-0.0468,-0.0578,0.1451,7.2163,-0.2026,0.3427,2072.1
5,4992,1560,-0.0178,0.0241,0.1015,4.8202,0.0382,0.3431,2105.3
6,320,1580,-0.7304,-0.4653,0.1168,4.6929,0.1689,0.3431,2138.5
6,640,1600,-0.4966,-1.6270,0.0776,6.8331,-0.0187,0.3433,2168.5
6,960,1620,0.4961,1.9810,0.1089,10.5530,-0.2131,0.3430,2196.4
6,1280,1640,-0.5792,3.6052,0.1681,7.4527,-0.5394,0.3424,2230.4
6,1600,1660,-0.1886,-0.2936,0.1547,5.0883,-0.0383,0.3423,2271.4
6,1920,1680,-0.0051,0.6196,0.2321,4.8831,0.2152,0.3422,2302.1
6,2240,1700,-0.2436,0.8881,0.3300,5.3948,-0.2167,0.3421,2329.8
6,2560,1720,0.1053,-0.5153,0.0778,4.1013,-0.1613,0.3425,2360.4
6,2880,1740,-0.1544,1.4093,0.0962,7.0256,-0.2961,0.3430,2389.3
6,3200,1760,0.2502,-0.1566,0.1418,7.0545,-0.0214,0.3430,2416.6
6,3520,1780,-0.5222,-0.1588,0.2689,7.0449,0.0474,0.3431,2445.9
6,3840,1800,0.2569,-0.0794,0.2124,8.6733,-0.0609,0.3431,2482.8
6,4160,1820,-0.3115,1.0105,0.1198,8.7518,-0.3032,0.3426,2518.0
6,4480,1840,-0.6366,-0.3021,0.2394,4.5436,0.0487,0.3431,2552.2
6,4800,1860,0.3375,-0.3573,0.4994,5.3197,-0.0902,0.3432,2587.1
7,128,1880,-0.3577,-2.3028,0.1963,8.1020,-0.1169,0.3437,2624.6
7,448,1900,-0.2996,0.7502,0.2568,4.7104,-0.0323,0.3436,2662.6
7,768,1920,0.0170,-1.7657,0.5268,5.4543,-0.1840,0.3431,2698.9
7,1088,1940,-0.4182,-0.1496,0.2153,5.3011,-0.2453,0.3429,2728.3
7,1408,1960,0.5306,0.6652,0.1519,7.3409,-0.2244,0.3429,2756.5
7,1728,1980,-0.9018,-1.7479,0.1099,7.8443,-0.0025,0.3429,2784.8
7,2048,2000,0.1100,1.8485,0.1653,7.4290,-0.5655,0.3428,2810.7
7,2368,2020,-0.4375,0.9930,0.0825,7.7233,-0.2774,0.3430,2836.3
7,2688,2040,-0.4619,-2.4092,0.1390,6.4366,0.0473,0.3432,2862.5
7,3008,2060,0.3160,0.5499,0.1039,6.8161,-0.1218,0.3426,2887.9
7,3328,2080,-0.5027,-0.3661,0.2076,4.7968,-0.1594,0.3424,2913.3
7,3648,2100,-0.3520,1.1103,0.1481,5.2639,-0.0204,0.3427,2940.0
7,3968,2120,0.6291,0.1714,0.2978,7.5190,-0.3877,0.3420,2966.2
7,4288,2140,-0.6619,-1.4980,0.2030,7.1954,-0.1243,0.3420,2990.7
7,4608,2160,0.1119,-2.3765,0.1742,5.4144,0.3632,0.3426,3018.2
7,4928,2180,0.0844,1.1862,0.1376,4.9275,-0.1845,0.3424,3042.4
8,256,2200,-0.2720,-3.3736,0.1616,7.8316,0.0827,0.3428,3068.8
8,576,2220,0.3762,-1.6550,0.1185,8.2478,-0.0268,0.3425,3094.8
8,896,2240,0.1153,0.6775,0.1241,5.3737,-0.2752,0.3422,3119.6
8,1216,2260,-0.2616,-2.8125,0.1333,8.4059,-0.0290,0.3420,3145.1
8,1536,2280,-0.3730,-2.4434,0.0991,6.3339,-0.0021,0.3418,3169.6
8,1856,2300,-0.4685,-1.8968,0.1273,6.9683,-0.0673,0.3418,3194.2
8,2176,2320,-0.1577,1.0089,0.1323,5.2917,0.0662,0.3419,3219.3
8,2496,2340,-0.5495,-3.1828,0.2357,6.1149,0.1394,0.3422,3246.1
8,2816,2360,-0.2735,0.6472,0.1911,5.1496,0.1405,0.3426,3272.3
8,3136,2380,0.2774,1.3200,0.1179,6.8872,-0.4086,0.3427,3299.5
8,3456,2400,-1.0218,-2.4943,0.1290,6.9589,0.0740,0.3430,3325.3
8,3776,2420,0.2156,0.4809,0.1961,7.4144,-0.2453,0.3430,3350.2
8,4096,2440,0.0473,2.1384,0.2061,7.8789,-0.2853,0.3431,3376.2
