timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss
1778512033.206614,0.529889,35.990681,1.987229,7.066658,26.936794
1778512044.5826602,0.473609,47.996689,2.554293,11.654761,33.787636
1778512059.247027,0.665686,31.436890,1.825830,6.909418,22.701643
1778512070.6523001,0.496094,47.970085,2.717338,9.774495,35.478252
1778512079.967458,0.383615,22.275742,1.278002,4.826456,16.171284
1778512088.3951318,0.558033,59.564644,3.251933,13.888382,42.424332
1778512097.1994638,0.761203,43.306507,2.451740,7.660347,33.194420
1778512105.357763,0.379842,44.432945,2.462273,9.615725,32.354950
1778512114.95428,0.845199,60.181858,3.312074,13.089998,43.779785
1778512125.718606,0.662026,49.203651,2.823192,9.356057,37.024403
1778512132.6681101,0.382802,40.972351,2.300031,9.248130,29.424189
1778512143.145174,0.567560,50.774990,3.007710,10.021752,37.745529
1778512151.0831401,0.581619,62.996674,3.576286,12.264015,47.156372
1778512159.486156,0.464932,55.844303,3.057058,13.727805,39.059441
1778512170.51969,0.452438,21.299984,1.232284,4.132489,15.935211
1778512180.6854222,0.434252,36.340080,2.029598,7.611032,26.699451
1778512187.700932,0.571059,54.265255,2.995191,10.634130,40.635933
1778512197.099788,0.777446,47.145924,2.609977,10.266351,34.269596
1778512205.8386781,0.553254,50.985218,2.898510,11.164763,36.921944
1778512215.723906,0.611607,49.027889,2.802614,9.705018,36.520256
1778512222.9603698,0.419733,40.288246,2.112462,9.089939,29.085846
1778512231.092381,0.679130,49.152130,2.788206,9.543560,36.820366
1778512238.664716,0.443629,62.185928,3.566561,12.017329,46.602039
1778512250.296196,0.580202,52.699963,2.966700,12.119777,37.613487
1778512259.382663,0.526813,59.448750,3.348463,11.962317,44.137970
1778512268.969158,0.746251,46.219978,2.535379,10.219975,33.464622
1778512281.0818298,0.505308,36.195923,2.079784,7.188114,26.928022
1778512287.153617,0.242398,28.887669,1.605599,4.532793,22.749277
1778512296.4930282,0.825722,64.002502,3.635974,13.234272,47.132256
1778512303.536333,0.252725,37.489708,2.092376,8.105967,27.291367
1778512313.315459,0.381640,41.051254,2.317884,8.116810,30.616562
1778512324.0433202,0.571624,55.354527,3.009979,13.114961,39.229588
1778512331.05665,0.223450,44.475655,2.451385,8.193786,33.830482
1778512341.892107,0.474146,47.011055,2.618089,9.137101,35.255867
1778512349.8494568,0.445766,52.175476,2.819873,10.153304,39.202297
1778512360.341834,0.742280,58.860394,3.219476,12.409433,43.231483
1778512372.905885,0.666241,53.265179,2.926620,12.206961,38.131599
1778512381.484239,0.342416,36.507671,2.116454,6.865160,27.526058
1778512393.7464058,0.420741,29.414049,1.594972,6.885235,20.933842
1778512405.686291,0.649246,43.388016,2.469847,8.454277,32.463890
1778512414.712666,0.696355,30.317358,1.701650,4.276506,24.339203
1778512422.120985,0.397264,32.746296,1.836151,6.718046,24.192099
1778512431.154303,0.512931,54.599380,3.104796,11.133049,40.361534
1778512441.503465,0.572759,61.327934,3.294662,13.934908,44.098362
1778512453.8594098,0.532931,46.483444,2.643784,9.580091,34.259571
1778512465.33521,0.476945,40.355408,2.317198,7.472439,30.565769
1778512472.851213,0.375933,60.022362,3.222174,13.396858,43.403328
1778512481.064322,0.489584,51.242100,2.862328,8.486606,39.893166
1778512492.460969,0.749278,46.393646,2.494393,9.229210,34.670044
1778512500.31703,0.248020,39.991257,2.334145,4.727984,32.929127
1778512511.015096,0.714409,45.190674,2.497045,8.916201,33.777428
1778512519.275709,0.394124,46.721291,2.582277,8.643497,35.495518
1778512530.47101,0.574458,51.886047,2.957413,10.088505,38.840130
1778512540.7778828,0.677653,46.695187,2.577281,10.860364,33.257542
1778512551.123582,0.676557,44.105843,2.437200,9.662860,32.005783
1778512558.1386619,0.389101,55.245686,2.924668,11.787296,40.533722
1778512566.390236,0.492856,45.954338,2.666757,8.576593,34.710987
1778512579.097211,0.549952,44.241432,2.522847,7.431147,34.287437
1778512592.134419,0.810434,54.342541,3.072438,11.428695,39.841408
1778512603.123779,0.567081,56.507774,3.123988,11.498473,41.885315
1778512613.112459,0.541923,50.113152,2.819948,9.864468,37.428738
1778512623.609052,0.472003,57.149143,3.144248,13.289791,40.715103
1778512637.505996,0.781384,35.593864,1.991707,8.299953,25.302204
1778512648.9779541,0.679156,52.101036,2.990580,10.203199,38.907257
1778512660.426564,0.551173,46.922012,2.563449,9.547121,34.811440
1778512671.132295,0.385118,49.555580,2.819972,9.466063,37.269547
1778512682.742335,0.313652,28.619835,1.627826,3.680043,23.311966
1778512694.902258,0.505645,46.040634,2.547841,10.613057,32.879738
1778512709.298825,0.311552,45.298969,2.636328,10.175042,32.487598
1778512718.234289,0.455122,46.647293,2.587896,8.554356,35.505043
1778512730.0926468,0.486407,51.997787,2.819502,11.652784,37.525501
1778512738.239059,0.347461,42.924328,2.387156,8.484449,32.052723
1778512750.105993,0.468470,43.025894,2.444398,9.082657,31.498840
1778512758.950901,0.227823,45.652710,2.370249,12.230289,31.052170
1778512771.577408,0.676934,40.273705,2.167737,10.295635,27.810333
1778512788.255604,0.588664,33.704048,1.924126,7.850842,23.929083
1778512797.843936,0.453236,52.049553,2.842994,10.069646,39.136913
1778512812.2906601,0.575437,52.022255,2.901576,10.615464,38.505215
1778512822.117877,0.522148,46.188061,2.517675,9.881025,33.789360
1778512832.564505,0.474259,41.809719,2.380769,8.271570,31.157379
1778512840.160094,0.263973,48.471813,2.570276,9.886046,36.015491
1778512849.634502,0.547921,56.344711,3.065835,11.488824,41.790051
1778512859.210774,0.417401,38.434605,2.131431,7.185070,29.118103
1778512869.071871,0.482139,52.060268,2.859296,12.090613,37.110359
1778512878.388375,0.590601,63.592934,3.562172,12.629499,47.401260
1778512888.064123,0.233768,36.229259,1.993655,6.703770,27.531836
1778512899.1435509,0.499420,51.541130,2.991271,11.537143,37.012718
1778512911.137929,0.503141,40.567734,2.087879,10.346288,28.133568
1778512923.9793558,0.586974,56.355770,3.197841,12.405735,40.752193
1778512939.3235562,0.401765,36.065079,1.994132,8.717150,25.353796
1778512952.73294,0.551461,43.637356,2.386573,9.457340,31.793442
1778512966.4540548,0.454888,34.359993,1.944993,6.719182,25.695816
1778512977.536675,0.288346,29.113304,1.581307,5.818274,21.713722
1778512989.20189,0.699115,41.363632,2.374040,8.105065,30.884525
1778513000.219379,0.655870,58.980064,3.223690,12.292357,43.464016
1778513014.337437,0.834275,46.312611,2.483603,11.592161,32.236847
1778513026.234284,0.502420,53.259621,3.006900,11.418658,38.834064
1778513038.439299,0.479893,36.011578,2.136241,6.576288,27.299047
1778513049.572027,0.182037,20.083975,1.204528,2.928405,15.951042
1778513062.54366,0.457395,40.819435,2.305469,9.350468,29.163498
1778513071.190551,0.210403,38.748554,2.153012,7.969941,28.625603
1778513081.929464,0.319045,34.859123,2.084068,7.073658,25.701399
1778513092.2487411,0.268892,41.514004,2.331174,8.342951,30.839878
1778513102.564932,0.514469,38.434929,1.981761,8.311992,28.141176
1778513110.546158,0.493061,47.035610,2.689826,9.893528,34.452255
1778513122.7961931,0.303156,35.591270,1.997081,8.469585,25.124605
1778513135.544836,0.596638,38.866226,2.266511,8.230010,28.369705
1778513146.522421,0.430856,41.529442,2.279429,10.873763,28.376251
1778513155.812126,0.255485,25.796629,1.462595,4.760726,19.573307
1778513167.025082,0.446647,33.213108,1.970603,6.455521,24.786985
1778513176.491881,0.506268,55.218040,3.043504,12.339722,39.834812
1778513185.09856,0.457049,47.246895,2.681697,8.930766,35.634434
1778513200.203712,0.639499,40.848274,2.290935,9.150204,29.407135
1778513209.128778,0.646983,52.825890,2.944513,11.468174,38.413204
1778513221.275388,0.873131,59.536430,3.226297,12.641210,43.668922
1778513232.9621918,0.695549,45.653214,2.632823,9.744197,33.276192
1778513242.7798421,0.596779,45.172832,2.476335,8.654100,34.042397
1778513254.175837,0.677288,54.451038,2.949743,11.858564,39.642731
1778513263.0128598,0.641620,65.896873,3.568480,13.636696,48.691696
1778513274.2193081,0.342838,32.631634,1.807383,5.535024,25.289227
1778513286.556614,0.426693,40.707947,2.289952,9.909008,28.508987
1778513297.224905,0.586436,53.211330,2.814362,11.988590,38.408379
1778513305.742325,0.316406,50.347862,2.700277,12.239056,35.408531
1778513315.79296,0.549683,36.196480,2.040101,7.255236,26.901144
1778513324.675348,0.502332,47.767609,2.625834,8.896542,36.245232
