epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,0.4437,0.7185,0.4363,0.1548,5.5836,-0.4725,0.0000,1.0000,0.0000,0.2844,150.3
1,640,40,0.5969,-2.3207,0.6531,0.1370,7.4898,-0.4803,-0.0000,1.0000,0.0000,0.2250,279.8
1,960,60,-0.3165,-1.3853,0.4926,0.0643,8.0279,-0.3971,-0.0000,1.0000,0.0000,0.2250,422.2
1,1280,80,-0.2486,-0.0500,0.2483,0.1399,9.6258,-0.6285,-0.0000,1.0000,0.0000,0.2227,551.3
1,1600,100,0.3159,-0.4654,0.6700,0.1524,8.3886,-0.6077,-0.0000,1.0000,0.0000,0.2213,680.3
1,1920,120,0.1973,0.6886,0.6593,0.1832,8.0351,-0.4372,-0.0000,1.0000,0.0000,0.2214,836.6
1,2240,140,-0.3696,0.0859,0.3887,0.1622,6.8823,-0.5990,-0.0000,1.0000,0.0000,0.2219,1017.6
1,2560,160,0.3171,0.1741,0.3109,0.2202,12.7600,-0.7480,-0.0000,1.0000,0.0000,0.2184,1155.0
1,2880,180,-0.0103,-0.8962,0.3572,0.1580,9.7056,-0.2557,-0.0000,1.0000,0.0000,0.2212,1308.8
1,3200,200,-0.4688,-1.1014,0.3258,0.4553,10.5742,-0.6259,0.0000,1.0000,0.0000,0.2188,1427.3
1,3520,220,-0.1761,-1.2507,0.5727,0.3377,6.8827,-0.2170,-0.0000,1.0000,0.0000,0.2239,1557.5
1,3840,240,0.4279,3.1296,0.2147,0.0902,7.3687,-1.0000,0.0000,1.0000,0.0000,0.2232,1679.7
1,4160,260,0.3895,-0.9936,0.4345,0.0818,8.1131,-0.6226,0.0000,1.0000,0.0000,0.2212,1813.2
1,4480,280,-0.0691,0.5066,0.4174,0.3788,5.6635,-0.7458,0.0000,1.0000,0.0000,0.2221,1930.5
1,4800,300,1.1627,-0.7844,0.3775,0.5648,12.1181,-0.7505,0.0000,1.0000,0.0000,0.2196,2045.3
2,128,320,-1.0144,0.9186,0.2715,0.2543,8.9599,-0.5994,-0.0000,1.0000,0.0000,0.2229,2184.2
2,448,340,0.0206,-1.0100,0.5667,0.6313,7.6654,-0.2429,0.0000,1.0000,0.0000,0.2219,2315.3
2,768,360,0.3062,0.9051,0.3354,0.1598,8.2715,-0.7546,-0.0000,1.0000,0.0000,0.2207,2450.9
2,1088,380,0.5808,1.6809,0.4077,0.2375,5.3913,-0.7313,-0.0000,1.0000,0.0000,0.2198,2584.5
2,1408,400,0.1312,0.6962,0.3320,0.2636,9.5125,-0.8753,-0.0000,1.0000,0.0000,0.2203,2719.6
2,1728,420,0.1918,-0.4887,0.4371,0.4818,7.8103,-0.3782,-0.0000,1.0000,0.0000,0.2212,2855.8
2,2048,440,-0.0616,-0.2940,0.6345,0.4738,4.4542,-0.3484,0.0000,1.0000,0.0000,0.2203,2994.4
2,2368,460,0.0723,-1.1712,0.4070,1.1238,8.6005,-0.6208,-0.0000,1.0000,0.0000,0.2197,3125.3
2,2688,480,-0.0241,-1.6567,0.5191,0.5695,6.8107,-0.4928,0.0000,1.0000,0.0000,0.2189,3239.9
2,3008,500,0.0801,2.5951,0.4050,0.8004,6.1953,-1.0000,0.0000,1.0000,0.0000,0.2187,3369.7
2,3328,520,-0.1321,0.7759,0.5097,0.1679,7.3405,-0.7821,0.0000,1.0000,0.0000,0.2191,3494.5
