episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-6.5769,-8.8933,0.0000,14.9891,-0.1014,0.2906,178.1
640,40,-6.3384,-11.2361,0.0000,15.1930,-0.2341,0.2719,367.9
960,60,-12.7894,-19.8382,0.0000,16.8953,-0.7410,0.2583,594.2
1280,80,-11.7227,-5.7870,0.0000,18.1379,-0.1874,0.2641,829.9
1600,100,-8.9102,-7.0361,0.0000,16.5603,-0.5007,0.2619,1055.7
1920,120,-8.0907,-9.9219,0.0000,13.4905,0.0861,0.2625,1332.6
2240,140,-6.3745,0.0963,0.0000,14.7708,-0.5935,0.2598,1563.8
2560,160,-9.4459,-22.5755,0.0000,21.9631,-0.6294,0.2535,1805.2
2880,180,-9.0378,1.8451,0.0000,17.8779,-0.3958,0.2594,2090.2
3200,200,-7.1186,-12.0819,0.0000,17.3124,-0.6321,0.2572,2318.5
3520,220,-5.9390,-17.3621,0.0000,12.3967,-0.8758,0.2557,2554.1
3840,240,-4.9900,1.2143,0.0000,17.5035,-0.5168,0.2552,2823.3
4160,260,-5.6645,-13.0941,0.0000,16.1401,0.0106,0.2536,3087.4
4480,280,-5.8651,-1.8250,0.0000,12.0835,-0.5009,0.2547,3360.4
4800,300,-7.6854,-2.7700,0.0000,20.4265,-0.6612,0.2540,3646.0
