timestamp,batch,avg_loss,expert_succ,matched_rate
1779329561.761536,20,3.110472,0.3844,1.0000
1779329580.941059,40,3.022620,0.3672,1.0000
1779329597.834514,60,2.870696,0.3604,1.0000
1779329615.734793,80,2.885834,0.3555,1.0000
1779329631.930003,100,2.893798,0.3550,1.0000
1779329650.716117,120,2.732145,0.3563,1.0000
1779329668.8074722,140,2.785127,0.3563,1.0000
1779329688.5951018,160,2.847390,0.3570,1.0000
1779329706.2349231,180,2.797579,0.3615,1.0000
1779329722.788845,200,2.780922,0.3591,1.0000
1779329741.01742,220,2.790754,0.3616,1.0000
1779329760.3035562,240,2.836143,0.3617,1.0000
1779329779.5079691,260,2.895886,0.3642,1.0000
1779329794.78785,280,2.884357,0.3629,1.0000
1779329812.6545,300,2.779640,0.3621,1.0000
1779329834.378322,320,2.813672,0.3645,1.0000
1779329850.8332381,340,2.751147,0.3631,1.0000
1779329867.206869,360,2.663494,0.3616,1.0000
1779329881.580001,380,2.809880,0.3590,1.0000
1779329902.546247,400,2.604259,0.3609,1.0000
1779329921.257237,420,2.623091,0.3615,1.0000
1779329936.9984782,440,2.634312,0.3615,1.0000
1779329954.11183,460,2.615673,0.3609,1.0000
1779329971.17115,480,2.699803,0.3600,1.0000
1779329990.7870772,500,2.681568,0.3599,1.0000
1779330009.430795,520,2.748962,0.3602,1.0000
1779330027.543969,540,2.660028,0.3620,1.0000
1779330048.1321301,560,2.631674,0.3631,1.0000
1779330062.85532,580,2.607500,0.3608,1.0000
1779330080.2094579,600,2.750009,0.3610,1.0000
1779330096.1620722,620,2.767434,0.3604,1.0000
