epoch,episode,batch,loss,policy_loss,value_loss,kl,entropy,avg_reward,advantage_mean,ratio_mean,ratio_clip_frac,succ_rate,elapsed_s
1,320,20,-0.4908,0.8658,0.1907,0.1532,10.0500,-0.1250,0.0000,1.0000,0.0000,0.2719,137.3
1,640,40,0.3167,-0.1163,0.3046,0.0671,8.9323,0.0016,-0.0000,1.0000,0.0000,0.2484,283.8
1,960,60,0.2177,0.2306,0.1558,0.0749,9.5957,-0.3689,0.0000,1.0000,0.0000,0.2469,430.3
1,1280,80,-0.8296,0.1255,0.1182,0.3071,11.8179,-0.3916,-0.0000,1.0000,0.0000,0.2445,558.1
1,1600,100,-0.5890,-0.0634,0.0784,0.3989,9.7572,-0.3555,-0.0000,1.0000,0.0000,0.2437,691.7
1,1920,120,-0.8093,-3.1102,0.1492,0.4966,9.8343,-0.0240,0.0000,1.0000,0.0000,0.2474,879.8
1,2240,140,1.0882,-0.2998,0.1636,0.5855,9.4711,-0.2134,0.0000,1.0000,0.0000,0.2415,1034.9
1,2560,160,-0.0068,2.2029,0.0540,0.2186,14.0601,-0.3940,-0.0000,1.0000,0.0000,0.2379,1177.3
1,2880,180,0.8092,1.0799,0.1271,0.2398,10.1238,-0.4021,0.0000,1.0000,0.0000,0.2347,1317.3
1,3200,200,-0.3909,-0.2489,0.0854,1.0296,10.6600,-0.3683,-0.0000,1.0000,0.0000,0.2341,1436.7
1,3520,220,0.6477,-1.2452,0.3668,0.9860,6.4148,-0.0910,-0.0000,1.0000,0.0000,0.2321,1561.0
1,3840,240,-0.2158,3.1888,0.1272,0.4484,9.8158,-0.3760,0.0000,1.0000,0.0000,0.2326,1691.4
1,4160,260,0.4928,-1.2258,0.2157,0.2125,9.2799,-0.1396,-0.0000,1.0000,0.0000,0.2341,1830.9
1,4480,280,-0.1452,-0.9026,0.2030,0.3356,6.7398,-0.0860,0.0000,1.0000,0.0000,0.2350,1952.9
1,4800,300,0.1153,-1.9391,0.0976,0.1847,11.3977,-0.3009,-0.0000,1.0000,0.0000,0.2354,2085.6
2,128,320,-0.9336,-0.3126,0.1118,0.3055,10.6457,-0.2674,-0.0000,1.0000,0.0000,0.2369,2225.8
2,448,340,0.0204,-1.0505,0.1043,0.3553,9.3966,-0.2755,0.0000,1.0000,0.0000,0.2359,2357.2
2,768,360,1.3003,0.3713,0.1287,0.1679,11.3609,-0.3435,-0.0000,1.0000,0.0000,0.2327,2484.7
2,1088,380,-0.0502,1.5682,0.1605,0.4987,7.8202,-0.2965,0.0000,1.0000,0.0000,0.2329,2604.7
2,1408,400,0.3296,0.5860,0.1706,0.1431,10.1013,-0.3871,0.0000,1.0000,0.0000,0.2325,2730.6
2,1728,420,-0.1113,-2.2399,0.0847,0.2703,9.0731,-0.0603,0.0000,1.0000,0.0000,0.2342,2861.9
2,2048,440,-0.6228,-1.8239,0.2972,0.4014,7.8618,-0.1422,-0.0000,1.0000,0.0000,0.2330,3001.7
2,2368,460,-0.5287,3.0252,0.1188,0.4163,11.7755,-0.4442,-0.0000,1.0000,0.0000,0.2325,3130.0
2,2688,480,-0.1164,-0.4348,0.1785,0.6549,9.7376,-0.2285,0.0000,1.0000,0.0000,0.2311,3246.2
2,3008,500,-0.0455,2.3083,0.2414,0.8640,9.0479,-0.3800,0.0000,1.0000,0.0000,0.2318,3378.6
2,3328,520,0.0656,4.1145,0.0903,0.5379,10.0620,-0.4590,0.0000,1.0000,0.0000,0.2317,3501.5
2,3648,540,0.6952,0.5439,0.2081,0.6683,10.8270,-0.3169,0.0000,1.0000,0.0000,0.2323,3624.1
2,3968,560,0.0687,-1.4236,0.4112,0.7062,6.9608,-0.0037,0.0000,1.0000,0.0000,0.2337,3751.5
2,4288,580,0.2838,-2.5604,0.1590,0.4019,11.2001,-0.3061,0.0000,1.0000,0.0000,0.2334,3865.2
2,4608,600,-1.0832,-3.6942,0.1352,0.3720,12.2790,-0.1898,-0.0000,1.0000,0.0000,0.2338,3982.1
2,4928,620,-0.0808,-0.3063,0.0788,0.3341,10.9566,-0.1762,-0.0000,1.0000,0.0000,0.2332,4098.5
3,256,640,-0.5301,-1.1518,0.2585,0.1508,10.3686,-0.5621,0.0000,1.0000,0.0000,0.2357,4240.0
3,576,660,0.6645,-0.6400,0.1655,0.1329,8.1212,-0.2083,-0.0000,1.0000,0.0000,0.2345,4359.6
3,896,680,-1.5630,-4.8192,0.1533,0.1118,12.7529,-0.1580,-0.0000,1.0000,0.0000,0.2349,4486.3
3,1216,700,0.2465,4.1263,0.0663,0.1886,9.6634,-0.4350,0.0000,1.0000,0.0000,0.2350,4612.7
3,1536,720,0.8103,0.6661,0.1318,0.3357,8.2824,-0.3071,-0.0000,1.0000,0.0000,0.2345,4733.3
3,1856,740,-0.0011,-1.3628,0.2361,0.3583,8.5556,-0.0311,0.0000,1.0000,0.0000,0.2346,4865.6
3,2176,760,0.4331,2.3385,0.0519,0.2594,9.5817,-0.4171,-0.0000,1.0000,0.0000,0.2343,4988.9
3,2496,780,0.0768,-1.4249,0.2105,0.1207,9.4593,-0.2299,-0.0000,1.0000,0.0000,0.2343,5103.8
3,2816,800,-0.2647,1.0799,0.0625,0.1008,10.7121,-0.3982,-0.0000,1.0000,0.0000,0.2342,5224.8
3,3136,820,-0.1004,-0.8912,0.1881,0.0729,9.2958,-0.2850,0.0000,1.0000,0.0000,0.2334,5341.1
3,3456,840,-1.0611,-1.2563,0.0928,0.0811,12.8988,-0.3026,-0.0000,1.0000,0.0000,0.2343,5478.1
3,3776,860,-0.2145,1.4031,0.1082,0.1468,9.6118,-0.2390,-0.0000,1.0000,0.0000,0.2353,5599.5
3,4096,880,0.2549,-0.9832,0.3388,0.1228,10.3811,-0.3066,-0.0000,1.0000,0.0000,0.2352,5720.4
3,4416,900,-0.1592,1.1964,0.1560,0.2354,7.4368,-0.3864,-0.0000,1.0000,0.0000,0.2350,5835.3
3,4736,920,-0.3449,3.1208,0.0526,0.5781,12.3955,-0.4664,0.0000,1.0000,0.0000,0.2349,5956.0
4,64,940,-2.1883,-0.4505,0.2050,0.1685,8.2119,-0.1066,-0.0000,1.0000,0.0000,0.2365,6091.7
4,384,960,1.4294,-0.2643,0.1423,0.2429,9.4010,-0.2642,-0.0000,1.0000,0.0000,0.2365,6214.6
4,704,980,0.2620,-3.3425,0.0487,0.3603,13.1235,-0.1856,0.0000,1.0000,0.0000,0.2359,6341.5
4,1024,1000,-0.2381,0.0514,0.1469,0.2510,11.5829,-0.2796,-0.0000,1.0000,0.0000,0.2357,6455.9
4,1344,1020,-0.5298,-1.5236,0.3145,0.4872,9.1359,-0.1032,-0.0000,1.0000,0.0000,0.2357,6583.8
4,1664,1040,0.1268,0.7310,0.2266,0.1352,9.9442,-0.1708,0.0000,1.0000,0.0000,0.2357,6702.6
4,1984,1060,-0.2196,1.6086,0.1141,0.4383,11.7714,-0.3581,-0.0000,1.0000,0.0000,0.2358,6826.2
4,2304,1080,0.8571,-0.8250,0.0895,0.1870,12.2772,-0.1038,-0.0000,1.0000,0.0000,0.2361,6944.2
4,2624,1100,0.1644,-1.6463,0.1987,0.2618,11.8963,-0.1645,0.0000,1.0000,0.0000,0.2356,7069.6
4,2944,1120,0.6329,0.5834,0.0529,0.1881,9.9113,-0.3105,-0.0000,1.0000,0.0000,0.2357,7192.6
4,3264,1140,0.0822,-0.6879,0.1592,0.2268,10.4169,-0.1902,0.0000,1.0000,0.0000,0.2359,7322.5
4,3584,1160,0.2276,-1.9773,0.2865,0.1611,8.8190,-0.1788,0.0000,1.0000,0.0000,0.2358,7437.1
4,3904,1180,0.2540,0.0119,0.2878,0.3654,6.8185,-0.0752,-0.0000,1.0000,0.0000,0.2361,7560.3
4,4224,1200,0.2260,-0.4054,0.2156,0.4061,8.1079,-0.1833,0.0000,1.0000,0.0000,0.2363,7684.7
4,4544,1220,1.0542,1.5705,0.3456,0.1774,10.9732,-0.4947,0.0000,1.0000,0.0000,0.2358,7801.2
4,4864,1240,-0.2896,1.7856,0.0790,0.5104,11.1433,-0.4842,-0.0000,1.0000,0.0000,0.2353,7922.2
5,192,1260,-0.7554,3.3132,0.3081,0.3164,9.2879,-0.4051,-0.0000,1.0000,0.0000,0.2353,8062.9
5,512,1280,0.3264,-1.3241,0.1126,0.9465,10.9930,-0.3617,-0.0000,1.0000,0.0000,0.2351,8191.5
5,832,1300,0.2280,1.8330,0.2167,0.6978,11.6759,-0.3050,0.0000,1.0000,0.0000,0.2345,8309.0
5,1152,1320,0.2768,2.3505,0.0484,0.5427,9.8799,-0.4206,0.0000,1.0000,0.0000,0.2345,8434.2
5,1472,1340,0.4880,0.9010,0.1702,0.9311,9.1107,-0.3361,-0.0000,1.0000,0.0000,0.2344,8562.4
5,1792,1360,0.4396,0.7616,0.2062,0.8051,8.4945,-0.1723,0.0000,1.0000,0.0000,0.2347,8695.7
5,2112,1380,-0.2569,1.5223,0.1094,0.3579,7.7624,-0.3835,-0.0000,1.0000,0.0000,0.2346,8824.4
5,2432,1400,0.4830,-2.9348,0.0952,0.1193,14.0526,-0.3657,0.0000,1.0000,0.0000,0.2342,8945.9
5,2752,1420,-1.0488,1.0990,0.2384,0.3832,7.1962,-0.2376,-0.0000,1.0000,0.0000,0.2344,9068.7
5,3072,1440,0.4916,-3.1551,0.1709,0.1861,8.3493,-0.0807,-0.0000,1.0000,0.0000,0.2340,9186.4
5,3392,1460,0.1517,0.1003,0.1544,0.3938,6.1170,-0.1667,0.0000,1.0000,0.0000,0.2341,9308.9
5,3712,1480,0.4147,2.5188,0.2461,0.2728,8.6234,-0.3239,0.0000,1.0000,0.0000,0.2344,9444.5
5,4032,1500,0.3517,0.9762,0.1905,1.2856,6.5409,-0.2588,0.0000,1.0000,0.0000,0.2346,9570.3
5,4352,1520,-0.1205,2.7955,0.0724,0.7693,12.1686,-0.4134,0.0000,1.0000,0.0000,0.2351,9700.9
5,4672,1540,0.4766,1.3793,0.2495,0.8096,4.4988,-0.2087,0.0000,1.0000,0.0000,0.2347,9822.5
5,4992,1560,-0.8324,-0.1656,0.0448,0.7583,10.2741,-0.3718,-0.0000,1.0000,0.0000,0.2344,9951.5
6,320,1580,-0.0223,0.8745,0.2493,2.0160,10.1433,-0.2112,0.0000,1.0000,0.0000,0.2350,10092.0
6,640,1600,-0.1916,-0.6672,0.1640,0.8461,9.6127,-0.0545,0.0000,1.0000,0.0000,0.2346,10218.9
6,960,1620,1.4451,0.7804,0.1293,0.5061,10.1592,-0.3111,0.0000,1.0000,0.0000,0.2341,10324.5
6,1280,1640,-0.2283,-1.2619,0.0580,0.1564,11.0385,-0.3571,-0.0000,1.0000,0.0000,0.2340,10450.9
6,1600,1660,-0.7099,2.4574,0.1678,0.1686,8.8533,-0.4105,-0.0000,1.0000,0.0000,0.2338,10559.6
6,1920,1680,-0.4534,-5.0523,0.2511,0.4093,7.4871,0.1083,-0.0000,1.0000,0.0000,0.2340,10691.9
6,2240,1700,-0.4927,-0.2939,0.1588,0.3572,9.4204,-0.1504,-0.0000,1.0000,0.0000,0.2340,10811.7
6,2560,1720,0.6176,-2.5256,0.1571,0.0716,13.6893,-0.1929,-0.0000,1.0000,0.0000,0.2341,10937.8
6,2880,1740,0.6301,2.5246,0.1645,0.4581,9.1989,-0.4845,-0.0000,1.0000,0.0000,0.2340,11062.6
6,3200,1760,0.2469,0.1496,0.1917,0.2394,9.3801,-0.3453,-0.0000,1.0000,0.0000,0.2340,11182.6
6,3520,1780,0.0076,-0.3376,0.1251,0.0717,5.6154,-0.2432,0.0000,1.0000,0.0000,0.2341,11317.1
6,3840,1800,0.5234,1.7000,0.2600,0.5384,9.0877,-0.4528,0.0000,1.0000,0.0000,0.2343,11453.2
6,4160,1820,0.5617,-1.2099,0.2108,1.1601,9.0443,-0.1533,0.0000,1.0000,0.0000,0.2342,11576.8
6,4480,1840,0.2690,-2.2830,0.3404,0.4737,6.4477,-0.0208,-0.0000,1.0000,0.0000,0.2338,11685.9
6,4800,1860,0.6674,-1.2330,0.0886,0.3632,11.9620,-0.3339,0.0000,1.0000,0.0000,0.2334,11804.6
7,128,1880,-1.0506,-1.8510,0.1360,0.4585,10.1393,-0.2772,0.0000,1.0000,0.0000,0.2337,11945.2
7,448,1900,0.0363,1.3488,0.2069,0.7051,8.4734,-0.3552,-0.0000,1.0000,0.0000,0.2333,12072.9
7,768,1920,0.3786,-1.2718,0.2181,0.4386,10.4911,-0.2449,0.0000,1.0000,0.0000,0.2333,12200.0
7,1088,1940,0.0991,-0.3835,0.1592,0.5601,7.3303,-0.3069,-0.0000,1.0000,0.0000,0.2331,12321.3
7,1408,1960,-1.0913,-1.5541,0.1566,0.5820,12.9053,-0.2688,0.0000,1.0000,0.0000,0.2334,12458.3
7,1728,1980,-0.0400,-0.2197,0.1202,0.3075,12.1418,-0.1446,0.0000,1.0000,0.0000,0.2335,12577.9
7,2048,2000,-0.0494,-0.3475,0.0778,1.1005,6.9067,-0.1858,0.0000,1.0000,0.0000,0.2336,12707.0
7,2368,2020,-0.0357,1.7975,0.1931,0.4380,11.0976,-0.3478,0.0000,1.0000,0.0000,0.2339,12831.2
7,2688,2040,1.5073,0.6292,0.0374,0.3828,10.1995,-0.3711,0.0000,1.0000,0.0000,0.2335,12947.1
7,3008,2060,-0.6414,0.3650,0.1480,0.3460,8.8482,-0.2209,0.0000,1.0000,0.0000,0.2337,13081.6
7,3328,2080,1.0466,-1.4720,0.1023,0.1845,9.2884,-0.3089,0.0000,1.0000,0.0000,0.2337,13211.8
7,3648,2100,0.2521,-1.0785,0.1966,0.1666,10.8183,-0.3302,0.0000,1.0000,0.0000,0.2334,13340.4
7,3968,2120,-0.3053,0.4879,0.2174,0.3483,7.9890,-0.2599,-0.0000,1.0000,0.0000,0.2333,13459.2
7,4288,2140,-0.2872,1.6888,0.0591,0.1211,11.8255,-0.4696,0.0000,1.0000,0.0000,0.2329,13583.0
7,4608,2160,-0.3751,-0.7004,0.1490,0.3836,13.6324,-0.4648,-0.0000,1.0000,0.0000,0.2330,13716.5
7,4928,2180,-0.1418,3.3431,0.1433,0.5782,12.1111,-0.4238,-0.0000,1.0000,0.0000,0.2329,13847.0
