timestamp,batch,avg_reward,avg_cost,success_rate,mean_log_prob,grad_loss
1779267337.6324532,10,0.0000,280.85,0.2188,-0.1433,-0.1433
1779267474.6403048,20,0.0000,181.99,0.3906,-0.0290,-0.0290
1779267605.204797,30,0.0000,116.59,0.0938,-0.3139,-0.3139
1779267733.636342,40,0.0000,196.97,0.1562,0.4046,0.4046
1779267871.243934,50,0.0000,157.36,0.0781,-0.1603,-0.1603
1779268011.852886,60,0.0000,189.22,0.2656,-0.0315,-0.0315
1779268144.5483809,70,-0.0000,171.77,0.2500,0.0072,0.0072
1779268289.617463,80,-0.0000,282.43,0.1250,0.3948,0.3948
1779268415.355602,90,-0.0000,236.93,0.1875,0.8764,0.8764
1779268535.8930528,100,-0.0000,264.55,0.1250,-0.1655,-0.1655
1779268687.617959,110,-0.0000,358.25,0.2500,0.2538,0.2538
1779268811.3303769,120,0.0000,206.97,0.2969,-0.3206,-0.3206
1779268937.1003158,130,0.0000,554.54,0.0156,-0.3022,-0.3022
1779269063.6800902,140,-0.0000,138.01,0.1406,-1.0612,-1.0612
1779269205.040066,150,-0.0000,271.51,0.3438,0.0246,0.0246
1779269336.646394,160,-0.0000,117.98,0.0781,-0.1461,-0.1461
1779269471.693204,170,-0.0000,324.15,0.2812,-0.8091,-0.8091
1779269612.548702,180,-0.0000,285.21,0.2188,-0.7305,-0.7305
1779269743.042434,190,0.0000,129.24,0.0938,-0.0725,-0.0725
1779269873.7130728,200,0.0000,230.91,0.0938,-2.2719,-2.2719
1779270004.423713,210,-0.0000,285.94,0.2031,-1.3292,-1.3292
1779270120.561583,220,0.0000,133.47,0.0938,0.6304,0.6304
1779270257.9715369,230,0.0000,147.54,0.2656,0.4177,0.4177
1779270396.212833,240,-0.0000,305.04,0.0625,0.5442,0.5442
1779270520.481781,250,0.0000,130.89,0.0781,-1.2449,-1.2449
1779270647.687606,260,0.0000,241.45,0.0938,-0.2434,-0.2434
1779270787.044961,270,0.0000,192.77,0.3125,-1.1548,-1.1548
1779270902.2563672,280,0.0000,131.37,0.2344,0.1450,0.1450
1779271039.2606661,290,0.0000,190.90,0.3594,-0.3308,-0.3308
1779271169.545735,300,-0.0000,268.14,0.1875,1.0988,1.0988
1779271299.483108,310,0.0000,206.50,0.3906,-0.5315,-0.5315
