timestamp,batch,avg_loss,expert_succ,matched_rate
1779179842.869846,10,3.426368,0.4000,1.0000
1779179933.171967,20,3.495108,0.3688,1.0000
1779180017.598582,30,3.408381,0.3521,1.0000
1779180093.878616,40,3.371015,0.3281,1.0000
1779180184.1385138,50,3.244343,0.3337,1.0000
1779180270.805012,60,3.260461,0.3417,1.0000
1779180347.245753,70,3.300132,0.3339,1.0000
1779180435.217599,80,3.212220,0.3391,1.0000
1779180521.835126,90,3.275818,0.3389,1.0000
1779180613.17619,100,3.292358,0.3387,1.0000
1779180716.4913542,110,3.246805,0.3369,1.0000
1779180801.4402602,120,3.159750,0.3354,1.0000
1779180897.927543,130,3.160838,0.3317,1.0000
1779180994.952031,140,3.196463,0.3371,1.0000
1779181087.5855381,150,3.365111,0.3333,1.0000
1779181179.9578502,160,3.174661,0.3297,1.0000
1779181270.838142,170,3.179620,0.3327,1.0000
1779181373.0941298,180,3.318113,0.3351,1.0000
1779181487.602848,190,3.289782,0.3336,1.0000
1779181623.711265,200,3.149522,0.3353,1.0000
1779181741.627946,210,3.278840,0.3384,1.0000
1779181835.5684202,220,3.279409,0.3378,1.0000
1779181938.2215,230,3.205782,0.3408,1.0000
1779182043.939102,240,3.215789,0.3409,1.0000
1779182128.382175,250,3.393577,0.3400,1.0000
1779182211.224001,260,3.185314,0.3404,1.0000
1779182298.212233,270,3.276488,0.3405,1.0000
1779182374.593605,280,3.342159,0.3393,1.0000
1779182465.046269,290,3.156714,0.3399,1.0000
1779182555.6136808,300,3.131696,0.3379,1.0000
1779182666.5478551,310,3.152915,0.3389,1.0000
1779182751.2416918,320,3.205520,0.3383,1.0000
1779182837.8236039,330,3.191849,0.3392,1.0000
1779182929.470591,340,3.115903,0.3390,1.0000
1779183030.71457,350,3.127156,0.3389,1.0000
1779183124.339812,360,3.121291,0.3403,1.0000
1779183214.777946,370,3.311341,0.3382,1.0000
1779183304.8804889,380,3.260828,0.3390,1.0000
1779183417.758423,390,3.095788,0.3388,1.0000
1779183522.72452,400,3.204152,0.3403,1.0000
1779183622.8252742,410,3.089419,0.3398,1.0000
1779183726.894432,420,3.126575,0.3397,1.0000
1779183827.016802,430,2.997657,0.3392,1.0000
1779183910.45111,440,3.261825,0.3398,1.0000
1779184004.3322399,450,3.178116,0.3408,1.0000
1779184118.271828,460,3.218695,0.3402,1.0000
1779184214.572025,470,3.131383,0.3412,1.0000
1779184310.8191638,480,3.152621,0.3410,1.0000
1779184407.881805,490,3.185358,0.3395,1.0000
1779184504.9638069,500,3.216869,0.3402,1.0000
1779184593.633402,510,2.983016,0.3409,1.0000
1779184681.7325199,520,3.230896,0.3397,1.0000
1779184758.725492,530,3.331981,0.3389,1.0000
1779184838.144146,540,3.221606,0.3394,1.0000
1779184913.38598,550,3.043101,0.3391,1.0000
1779184999.349926,560,3.214625,0.3388,1.0000
1779185084.7913542,570,3.214252,0.3380,1.0000
1779185176.5538182,580,3.345211,0.3367,1.0000
1779185262.760864,590,3.294632,0.3365,1.0000
1779185358.0708978,600,3.251649,0.3366,1.0000
1779185456.530947,610,3.212719,0.3360,1.0000
1779185544.106961,620,3.317979,0.3356,1.0000
