episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
320,20,-1.3824,-1.3042,0.0906,12.8069,-0.7270,0.2125,142.6
640,40,-1.4227,-2.2720,0.1798,11.9509,-0.6097,0.1938,274.8
960,60,-1.6031,-1.7945,0.1815,12.3773,-0.6327,0.2010,419.4
1280,80,-1.2521,-1.0392,0.1304,12.9682,-0.8793,0.1906,538.0
1600,100,-1.2533,-0.2478,0.2828,10.7342,-0.7496,0.1919,659.2
1920,120,-0.9821,-1.9043,0.4548,9.6198,-0.3335,0.1885,789.0
2240,140,-0.8365,-1.9219,0.3228,11.1183,-0.6426,0.1897,916.7
2560,160,-0.9282,-2.1330,0.2250,14.4177,-0.7361,0.1852,1028.9
2880,180,-0.7271,0.0623,0.2540,12.3471,-0.6536,0.1844,1152.0
3200,200,-0.8377,0.0896,0.1980,13.8829,-0.5252,0.1844,1274.7
3520,220,-0.9350,-1.7831,0.1588,11.0302,-0.5905,0.1849,1397.9
3840,240,-1.1655,0.1142,0.3191,12.5848,-0.7447,0.1862,1547.8
4160,260,0.0190,0.0215,0.4567,10.8513,-0.7475,0.1853,1697.0
4480,280,-0.4740,-0.3006,0.5572,8.8169,-0.6066,0.1859,1831.1
4800,300,-0.3482,-0.1171,0.5121,11.6871,-0.6537,0.1862,1961.5
