epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
5,3392,1460,0.0808,0.3706,0.1386,4.0954,-0.1125,0.3433,1703.7
5,3712,1480,-0.0406,-0.0031,0.0785,4.4852,-0.3686,0.3440,1729.0
5,4032,1500,0.2833,-0.1082,0.0996,4.5306,-0.6770,0.3438,1755.4
5,4352,1520,-0.1456,-1.0225,0.1268,4.3354,-0.3475,0.3438,1781.9
5,4672,1540,0.1138,-2.1140,0.0913,6.6115,-0.2522,0.3438,1807.6
5,4992,1560,-0.1091,-1.3170,0.0986,3.9234,0.1361,0.3443,1833.0
6,320,1580,0.3224,-0.8353,0.1467,4.3538,0.1605,0.3442,1862.6
6,640,1600,-0.1230,-1.7462,0.3094,5.3415,-0.3578,0.3437,1886.8
6,960,1620,0.2663,0.8442,0.2483,8.5800,-0.6184,0.3430,1909.0
6,1280,1640,0.0576,1.5586,0.2082,3.4070,-1.0000,0.3426,1933.9
6,1600,1660,0.3076,-0.2831,0.4047,3.3406,-0.3502,0.3426,1957.2
6,1920,1680,-0.0338,0.1347,0.3047,3.4013,0.2613,0.3428,1980.3
6,2240,1700,0.1396,-1.3396,0.1975,4.5109,-0.2451,0.3429,2001.7
6,2560,1720,0.0680,-0.3012,0.1773,2.9129,-0.1788,0.3431,2024.9
6,2880,1740,0.1449,0.4260,0.1270,4.4289,-0.7486,0.3433,2048.9
6,3200,1760,-0.0061,-0.7814,0.2404,5.0067,0.0258,0.3437,2074.1
6,3520,1780,-0.1761,0.5969,0.1926,5.0356,-0.5188,0.3440,2098.9
6,3840,1800,0.1778,0.1401,0.1275,4.1650,-0.2687,0.3439,2122.2
6,4160,1820,0.1206,-0.1016,0.2835,6.0488,-0.2528,0.3441,2145.6
6,4480,1840,0.0595,-1.1901,0.2460,3.2021,0.0023,0.3445,2168.1
6,4800,1860,0.0744,-1.3953,0.2047,3.8435,-0.0847,0.3447,2195.8
7,128,1880,0.0701,-0.2184,0.1317,5.0119,-0.3780,0.3453,2225.3
7,448,1900,0.1930,-0.7351,0.0923,3.6013,-0.2487,0.3449,2255.8
7,768,1920,0.2040,-0.1938,0.2320,3.7401,-0.6123,0.3449,2284.3
7,1088,1940,-0.0229,-0.2703,0.0901,3.7139,-0.4844,0.3448,2307.7
7,1408,1960,-0.0085,-0.0943,0.3038,4.6920,-0.6088,0.3447,2331.4
7,1728,1980,0.1186,-0.7024,0.1269,5.0973,-0.2359,0.3444,2354.2
7,2048,2000,-0.1213,-1.6133,0.0572,5.7349,-0.6144,0.3446,2376.5
7,2368,2020,0.0212,-0.6693,0.1243,4.2097,-0.1056,0.3448,2397.9
7,2688,2040,0.2575,-0.1648,0.2070,4.5879,0.1427,0.3450,2420.9
7,3008,2060,0.1698,0.1582,0.1377,3.9823,-0.3660,0.3442,2443.2
7,3328,2080,0.3865,0.7698,0.1640,4.0298,-0.8709,0.3440,2467.7
7,3648,2100,-0.0521,1.4092,0.2420,3.8267,-0.2949,0.3443,2490.6
7,3968,2120,0.0729,0.3932,0.0572,4.4948,-0.7442,0.3438,2516.6
7,4288,2140,-0.1072,-0.1579,0.1574,4.2802,-0.2108,0.3439,2548.1
7,4608,2160,0.1100,-0.6526,0.1932,4.8152,0.0928,0.3443,2576.8
7,4928,2180,-0.0169,-0.9461,0.6972,4.3825,-0.2454,0.3443,2602.7
8,256,2200,-0.1956,-2.4680,0.2804,5.2533,-0.0926,0.3444,2630.6
8,576,2220,0.0815,-0.4378,0.1518,4.6538,-0.1170,0.3448,2658.3
8,896,2240,0.1475,0.5687,0.3851,4.6057,-0.1494,0.3443,2684.4
8,1216,2260,-0.0796,0.8280,0.3529,4.5680,-0.7424,0.3442,2711.7
8,1536,2280,0.4216,-0.1439,0.1896,4.1761,-0.1378,0.3442,2739.2
8,1856,2300,-0.0060,-0.7638,0.1517,5.5768,-0.1432,0.3441,2765.1
8,2176,2320,0.0674,-1.3423,0.1402,4.5186,0.1734,0.3444,2790.5
8,2496,2340,-0.2189,0.1804,0.5339,6.6105,-0.0845,0.3444,2816.1
8,2816,2360,0.4059,1.2106,0.2254,4.2639,-0.7383,0.3441,2842.6
8,3136,2380,0.2809,0.4605,0.2442,6.0698,-0.6242,0.3439,2869.2
8,3456,2400,-0.1009,-0.9695,0.1744,5.4063,0.0380,0.3441,2900.2
8,3776,2420,-0.1051,0.5863,0.2784,5.8707,-0.5007,0.3442,2929.4
8,4096,2440,0.1836,-0.8029,0.3927,4.0996,-0.2215,0.3443,2957.7
8,4416,2460,-0.0137,-1.0966,0.3297,5.7339,-0.1435,0.3442,2985.6
8,4736,2480,0.1151,2.0736,0.2269,6.2829,-0.6119,0.3444,3012.9
9,64,2500,0.3344,2.3749,0.5032,9.6239,-0.7341,0.3448,3041.2
9,384,2520,0.1773,0.1896,0.6153,5.5333,-0.6117,0.3448,3069.2
9,704,2540,-0.0729,-0.7935,0.4993,7.6008,-0.2034,0.3446,3097.0
9,1024,2560,0.2367,-0.0768,0.2944,6.7023,-0.1311,0.3445,3124.6
9,1344,2580,-0.0219,-0.4295,0.3620,3.6006,-0.1066,0.3444,3151.1
9,1664,2600,0.1132,0.3663,0.1856,4.2415,-0.6087,0.3444,3179.7
9,1984,2620,0.1270,-0.2769,0.1340,4.5313,-0.1086,0.3447,3210.4
9,2304,2640,0.2016,0.1348,0.0546,5.3648,-0.5220,0.3448,3236.9
9,2624,2660,-0.3224,-0.4517,0.1257,5.5111,-0.0892,0.3450,3265.3
9,2944,2680,0.0492,-0.3376,0.2167,6.1044,-0.6023,0.3448,3292.5
9,3264,2700,0.1916,0.7732,0.2422,4.6431,-0.6463,0.3448,3320.2
9,3584,2720,0.2082,-0.1052,0.1287,5.1782,-0.3807,0.3447,3348.2
9,3904,2740,0.3400,-0.4071,0.2690,4.3368,0.2512,0.3447,3380.6
9,4224,2760,0.1315,0.5530,0.1605,6.9157,-0.7299,0.3446,3412.1
9,4544,2780,0.2139,-0.4714,0.1300,5.6002,0.2682,0.3448,3441.9
9,4864,2800,0.2987,-1.3090,0.2900,6.9034,-0.4949,0.3448,3471.3
10,192,2820,-0.2537,-0.3455,0.1829,5.4147,-0.1004,0.3452,3501.2
10,512,2840,-0.2152,-1.4446,0.2767,7.9691,-0.3842,0.3451,3535.6
10,832,2860,0.0178,0.2677,0.2105,6.6393,-0.1292,0.3449,3567.3
10,1152,2880,0.0890,0.7078,0.1959,4.7320,0.0144,0.3448,3603.7
10,1472,2900,0.2662,0.1959,0.2245,5.5178,-0.1144,0.3446,3634.9
10,1792,2920,-0.0610,-0.2448,0.1798,5.8992,-0.6148,0.3447,3664.6
10,2112,2940,0.0423,-0.9100,0.1846,5.8014,-0.2053,0.3446,3692.9
10,2432,2960,0.2511,0.2949,0.1142,5.9255,-0.7481,0.3444,3719.7
10,2752,2980,-0.0985,-0.7462,0.1571,5.5564,-0.7296,0.3445,3749.2
10,3072,3000,0.1111,-0.5266,0.1568,5.4454,-0.1363,0.3445,3780.1
10,3392,3020,0.0905,-0.2264,0.1624,5.6228,-0.2347,0.3445,3812.0
10,3712,3040,-0.1568,-0.5686,0.1393,5.8091,-0.2600,0.3450,3844.9
10,4032,3060,0.1249,-0.6980,0.1764,5.1506,-0.5088,0.3450,3875.4
10,4352,3080,-0.0643,0.4200,0.1780,3.6563,0.0154,0.3451,3904.2
10,4672,3100,0.0590,-1.1532,0.3051,5.3419,-0.0051,0.3452,3932.6
10,4992,3120,0.2075,0.1797,0.1585,3.0252,-0.2198,0.3455,3961.9
11,320,3140,-0.1517,-0.3791,0.1287,4.2649,-0.1007,0.3454,3990.8
11,640,3160,-0.1079,0.0438,0.1171,4.9099,-0.1047,0.3453,4017.8
