timestamp,avg_reward,total_loss,node_loss,link_loss,cand_loss
1777452080.60029,0.563536,-13.379852,-0.405844,-1.243295,-11.730713
1777452087.041878,0.501229,-7.975378,-0.247550,-0.831828,-6.895999
1777452091.741183,0.550866,-8.674616,-0.264955,-0.835092,-7.574569
1777452097.543245,0.518647,-11.823748,-0.367081,-1.280983,-10.175684
1777452103.0857441,0.567424,-16.411476,-0.495147,-1.657448,-14.258882
1777452108.3161259,0.530473,-6.765746,-0.221002,-0.756314,-5.788430
1777452115.000551,0.517053,-9.748840,-0.309172,-1.100949,-8.338718
1777452119.068819,0.575190,-10.281589,-0.307739,-0.752587,-9.221263
1777452125.05994,0.493416,-5.502067,-0.185617,-0.593233,-4.723217
1777452132.4946802,0.520859,-15.768634,-0.489486,-1.755144,-13.524004
1777452139.55557,0.521138,-12.361811,-0.377706,-1.355158,-10.628946
1777452143.278205,0.566247,-8.331682,-0.252649,-0.887717,-7.191316
1777452148.5206962,0.515739,-9.282863,-0.277735,-0.994949,-8.010178
1777452154.714554,0.539673,-15.185976,-0.475719,-1.797037,-12.913219
1777452160.3284218,0.534581,-12.949950,-0.407513,-1.162053,-11.380384
1777452166.071722,0.520240,-11.193362,-0.341453,-1.093038,-9.758871
1777452170.8855848,0.532793,-5.285222,-0.166184,-0.611194,-4.507843
1777452176.325096,0.555997,-14.329860,-0.440816,-1.499870,-12.389174
1777452181.222562,0.569411,-9.191986,-0.281850,-0.708017,-8.202118
1777452185.220187,0.544781,-9.737974,-0.298952,-0.919556,-8.519466
1777452191.1260102,0.466125,-3.533893,-0.115684,-0.401322,-3.016887
1777452195.883075,0.543858,-10.408735,-0.315147,-0.961162,-9.132426
1777452203.455828,0.522806,-13.484354,-0.408908,-1.527251,-11.548195
1777452207.020086,0.556107,-11.098783,-0.334353,-0.953380,-9.811050
1777452210.882308,0.591195,-7.134074,-0.211595,-0.687541,-6.234938
1777452216.268103,0.566152,-10.333540,-0.327509,-1.118155,-8.887877
1777452221.845533,0.551596,-13.037605,-0.397866,-1.184289,-11.455451
1777452228.428541,0.505325,-9.902792,-0.302359,-1.037513,-8.562921
1777452235.6092522,0.530525,-11.444560,-0.362258,-1.347590,-9.734713
1777452241.502364,0.500478,-7.621801,-0.244266,-0.688227,-6.689308
1777452246.781949,0.612760,-12.194281,-0.371656,-1.296800,-10.525825
1777452251.235772,0.534471,-4.855179,-0.141414,-0.409994,-4.303771
1777452256.101629,0.524101,-6.297357,-0.189728,-0.532587,-5.575042
